"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","874","0.0-1.0","872","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1127","0.0-2.0-0.0","253","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      "," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","1128","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","3587","0.0-2.0-2.0","2459","","{""Q0"":""1024""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","4071","0.0-2.0-3.0","483","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","10217","0.0-2.0-4.0","6145","","{""Q0"":""2001""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","13930","0.0-2.0-5.0","3712","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","124477","0.0-3.0","110545","","","","85.6","53.98","511.51147270152757","5.97660773367048","478.14","10.230229454030551","50","0.7428963381662684","30.56","15","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","127461","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","185591","0.0-5.0","58128","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3896},{""page_index"":1,""viewing_time"":48817},{""page_index"":2,""viewing_time"":3633},{""page_index"":3,""viewing_time"":1782}]","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","189249","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","192172","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","6.944391408114586","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","false","Practice",""
