"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order"
"true","false","[]","[]","[]","preload","0","566","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","7306","0.0-1.0","6739","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","8683","0.0-2.0-0.0","1377","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      "," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","8685","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","18486","0.0-2.0-2.0","9799","","{""Q0"":""1035""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","20030","0.0-2.0-3.0","1543","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","26548","0.0-2.0-4.0","6517","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","30870","0.0-2.0-5.0","4322","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","156047","0.0-3.0","125176","","","","85.6","53.98","473.9574936818218","5.536886608432497","516.22","9.479149873636436","50","0.9030345668240999","33.18","18.9","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","159348","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","214350","0.0-5.0","55001","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4482},{""page_index"":1,""viewing_time"":33790},{""page_index"":2,""viewing_time"":12747},{""page_index"":3,""viewing_time"":3982}]","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","218009","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","220742","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.667654320987676","853.3333333333334","529.3333333333334","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","false","Practice",""
