"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order"
"","","","","","psychophysics","286","762383","0.0-9.0-0.1-0.123","1052","","f","","","","","","","","","","","","","key","f","16.653787878788233","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","他人","Image","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","287","764399","0.0-9.0-0.1-0.124","852","","f","","","","","","","","","","","","","key","f","16.65083333333314","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","朋友","Word","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","288","766706","0.0-9.0-0.1-0.125","1143","","j","","","","","","","","","","","","","key","j","16.653284671532848","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","289","768899","0.0-9.0-0.1-0.126","1039","","f","","","","","","","","","","","","","key","f","16.65267175572519","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","290","770811","0.0-9.0-0.1-0.127","752","","j","","","","","","","","","","","","","key","j","16.653508771929825","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","291","773277","0.0-9.0-0.1-0.128","1304","","j","","","","","","","","","","","","","key","j","16.65238095238111","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Formal",""
"","","","","","psychophysics","292","775719","0.0-9.0-0.1-0.129","1280","","j","","","","","","","","","","","","","key","j","16.65310344827554","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal",""
"","","","","","psychophysics","293","777732","0.0-9.0-0.1-0.130","863","","f","","","","","","","","","","","","","key","f","16.652500000000387","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","他人","Image","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","294","779717","0.0-9.0-0.1-0.131","832","","f","","","","","","","","","","","","","key","f","16.653389830509266","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","自我","Image","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","295","782235","0.0-9.0-0.1-0.132","1352","","j","","","","","","","","","","","","","key","j","16.653333333333332","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","false","Formal",""
