"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"1","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"2","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"3","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"4","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"5","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"6","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"7","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"8","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"9","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"10","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"11","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"12","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"13","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"14","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"15","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"16","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"17","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"18","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"19","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"20","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"21","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"22","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"23","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"24","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"25","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"26","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"27","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"28","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"29","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"30","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"31","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"32","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"33","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"34","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"35","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"36","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"37","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"38","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"39","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
"40","Dalmaso_2024_ConsciousCog_Exp2","/","/","/","/","/","/","/","/"
