"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"U2E2","/","/","/","/","/","/","/","/"
2,"U2E2","/","/","/","/","/","/","/","/"
3,"U2E2","/","/","/","/","/","/","/","/"
4,"U2E2","/","/","/","/","/","/","/","/"
5,"U2E2","/","/","/","/","/","/","/","/"
6,"U2E2","/","/","/","/","/","/","/","/"
7,"U2E2","/","/","/","/","/","/","/","/"
8,"U2E2","/","/","/","/","/","/","/","/"
9,"U2E2","/","/","/","/","/","/","/","/"
10,"U2E2","/","/","/","/","/","/","/","/"
11,"U2E2","/","/","/","/","/","/","/","/"
12,"U2E2","/","/","/","/","/","/","/","/"
13,"U2E2","/","/","/","/","/","/","/","/"
14,"U2E2","/","/","/","/","/","/","/","/"
15,"U2E2","/","/","/","/","/","/","/","/"
16,"U2E2","/","/","/","/","/","/","/","/"
17,"U2E2","/","/","/","/","/","/","/","/"
18,"U2E2","/","/","/","/","/","/","/","/"
19,"U2E2","/","/","/","/","/","/","/","/"
20,"U2E2","/","/","/","/","/","/","/","/"
21,"U2E2","/","/","/","/","/","/","/","/"
22,"U2E2","/","/","/","/","/","/","/","/"
23,"U2E2","/","/","/","/","/","/","/","/"
24,"U2E2","/","/","/","/","/","/","/","/"
25,"U2E2","/","/","/","/","/","/","/","/"
26,"U2E2","/","/","/","/","/","/","/","/"
27,"U2E2","/","/","/","/","/","/","/","/"
28,"U2E2","/","/","/","/","/","/","/","/"
29,"U2E2","/","/","/","/","/","/","/","/"
30,"U2E2","/","/","/","/","/","/","/","/"
31,"U2E2","/","/","/","/","/","/","/","/"
32,"U2E2","/","/","/","/","/","/","/","/"
33,"U2E2","/","/","/","/","/","/","/","/"
34,"U2E2","/","/","/","/","/","/","/","/"
35,"U2E2","/","/","/","/","/","/","/","/"
36,"U2E2","/","/","/","/","/","/","/","/"
37,"U2E2","/","/","/","/","/","/","/","/"
38,"U2E2","/","/","/","/","/","/","/","/"
39,"U2E2","/","/","/","/","/","/","/","/"
40,"U2E2","/","/","/","/","/","/","/","/"
