"Subject","Session","SessionDate","Phase","Block","TrialList.Sample","Target","Shape","Label","YesNoResp","CorrectAnswer","Target.ACC","Target.RT","Target.RESP","Target.CRESP","Priming"
"101","1","03-27-2017","practice",NA,1,"T.bmp","Stranger","Freund","No","m","0","0","","m","imitation"
"101","1","03-27-2017","practice",NA,2,"S.bmp","Friend","Fremder","No","m","0","0","","m","imitation"
"101","1","03-27-2017","practice",NA,3,"T.bmp","Stranger","Fremder","Yes","n","0","0","","n","imitation"
"101","1","03-27-2017","practice",NA,4,"T.bmp","Stranger","Sie","No","m","0","0","","m","imitation"
"101","1","03-27-2017","practice",NA,5,"C.bmp","Self","Freund","No","m","0","0","","m","imitation"
"101","1","03-27-2017","practice",NA,6,"C.bmp","Self","Sie","Yes","n","0","0","","n","imitation"
"101","1","03-27-2017","practice",NA,7,"S.bmp","Friend","Freund","Yes","n","0","0","","n","imitation"
"101","1","03-27-2017","practice",NA,8,"S.bmp","Friend","Sie","No","m","0","0","","m","imitation"
"101","1","03-27-2017","practice",NA,9,"C.bmp","Self","Fremder","No","m","0","0","","m","imitation"
"101","1","03-27-2017","formal",1,1,"C.bmp","Self","Sie","Yes","n","1","336","n","n","imitation"
"101","1","03-27-2017","formal",1,2,"S.bmp","Friend","Fremder","No","m","1","528","m","m","imitation"
"101","1","03-27-2017","formal",1,3,"S.bmp","Friend","Sie","No","m","0","439","n","m","imitation"
"101","1","03-27-2017","formal",1,4,"C.bmp","Self","Freund","No","m","1","615","m","m","imitation"
"101","1","03-27-2017","formal",1,5,"S.bmp","Friend","Freund","Yes","n","0","854","m","n","imitation"
"101","1","03-27-2017","formal",1,6,"T.bmp","Stranger","Fremder","Yes","n","0","608","m","n","imitation"
"101","1","03-27-2017","formal",1,7,"S.bmp","Friend","Freund","Yes","n","1","926","n","n","imitation"
"101","1","03-27-2017","formal",1,8,"T.bmp","Stranger","Freund","No","m","1","728","m","m","imitation"
"101","1","03-27-2017","formal",1,9,"C.bmp","Self","Sie","Yes","n","1","544","n","n","imitation"
"101","1","03-27-2017","formal",1,10,"T.bmp","Stranger","Sie","No","m","1","705","m","m","imitation"
"101","1","03-27-2017","formal",1,11,"T.bmp","Stranger","Fremder","Yes","n","1","741","n","n","imitation"
"101","1","03-27-2017","formal",1,12,"C.bmp","Self","Fremder","No","m","1","637","m","m","imitation"
"101","1","03-27-2017","formal",1,13,"S.bmp","Friend","Freund","Yes","n","1","657","n","n","imitation"
"101","1","03-27-2017","formal",1,14,"S.bmp","Friend","Freund","Yes","n","1","755","n","n","imitation"
"101","1","03-27-2017","formal",1,15,"S.bmp","Friend","Sie","No","m","0","369","n","m","imitation"
"101","1","03-27-2017","formal",1,16,"S.bmp","Friend","Fremder","No","m","0","498","n","m","imitation"
"101","1","03-27-2017","formal",1,17,"C.bmp","Self","Sie","Yes","n","1","393","n","n","imitation"
"101","1","03-27-2017","formal",1,18,"T.bmp","Stranger","Freund","No","m","0","820","n","m","imitation"
"101","1","03-27-2017","formal",1,19,"T.bmp","Stranger","Fremder","Yes","n","1","841","n","n","imitation"
"101","1","03-27-2017","formal",1,20,"T.bmp","Stranger","Fremder","Yes","n","1","922","n","n","imitation"
"101","1","03-27-2017","formal",1,21,"C.bmp","Self","Sie","Yes","n","1","676","n","n","imitation"
"101","1","03-27-2017","formal",1,22,"C.bmp","Self","Freund","No","m","1","633","m","m","imitation"
"101","1","03-27-2017","formal",1,23,"C.bmp","Self","Fremder","No","m","1","716","m","m","imitation"
"101","1","03-27-2017","formal",1,24,"T.bmp","Stranger","Sie","No","m","1","705","m","m","imitation"
"101","1","03-27-2017","formal",1,25,"C.bmp","Self","Fremder","No","m","1","818","m","m","imitation"
"101","1","03-27-2017","formal",1,26,"S.bmp","Friend","Fremder","No","m","1","807","m","m","imitation"
"101","1","03-27-2017","formal",1,27,"C.bmp","Self","Sie","Yes","n","1","530","n","n","imitation"
"101","1","03-27-2017","formal",1,28,"S.bmp","Friend","Sie","No","m","1","675","m","m","imitation"
"101","1","03-27-2017","formal",1,29,"T.bmp","Stranger","Fremder","Yes","n","1","789","n","n","imitation"
"101","1","03-27-2017","formal",1,30,"T.bmp","Stranger","Freund","No","m","1","637","m","m","imitation"
"101","1","03-27-2017","formal",1,31,"S.bmp","Friend","Freund","Yes","n","1","657","n","n","imitation"
"101","1","03-27-2017","formal",1,32,"T.bmp","Stranger","Sie","No","m","1","583","m","m","imitation"
"101","1","03-27-2017","formal",1,33,"C.bmp","Self","Sie","Yes","n","1","525","n","n","imitation"
