"Subject","Task","Phase","Block","Trial","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","RT_ms","ACC"
"101","self-matching","practice",NA,1,"Nonmatching","T.bmp","Stranger","Stranger","Stranger","Freund","Freund","Friend","Close",NA,NA
"101","self-matching","practice",NA,2,"Nonmatching","S.bmp","Friend","Friend","Close","Fremder","Fremder","Stranger","Stranger",NA,NA
"101","self-matching","practice",NA,3,"Matching","T.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",NA,NA
"101","self-matching","practice",NA,4,"Nonmatching","T.bmp","Stranger","Stranger","Stranger","Sie","Sie","You","Self",NA,NA
"101","self-matching","practice",NA,5,"Nonmatching","C.bmp","Self","Self","Self","Freund","Freund","Friend","Close",NA,NA
"101","self-matching","practice",NA,6,"Matching","C.bmp","Self","Self","Self","Sie","Sie","You","Self",NA,NA
"101","self-matching","practice",NA,7,"Matching","S.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",NA,NA
"101","self-matching","practice",NA,8,"Nonmatching","S.bmp","Friend","Friend","Close","Sie","Sie","You","Self",NA,NA
"101","self-matching","practice",NA,9,"Nonmatching","C.bmp","Self","Self","Self","Fremder","Fremder","Stranger","Stranger",NA,NA
"101","self-matching","formal",1,1,"Matching","C.bmp","Self","Self","Self","Sie","Sie","You","Self",336,1
"101","self-matching","formal",1,2,"Nonmatching","S.bmp","Friend","Friend","Close","Fremder","Fremder","Stranger","Stranger",528,1
"101","self-matching","formal",1,3,"Nonmatching","S.bmp","Friend","Friend","Close","Sie","Sie","You","Self",439,0
"101","self-matching","formal",1,4,"Nonmatching","C.bmp","Self","Self","Self","Freund","Freund","Friend","Close",615,1
"101","self-matching","formal",1,5,"Matching","S.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",854,0
"101","self-matching","formal",1,6,"Matching","T.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",608,0
"101","self-matching","formal",1,7,"Matching","S.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",926,1
"101","self-matching","formal",1,8,"Nonmatching","T.bmp","Stranger","Stranger","Stranger","Freund","Freund","Friend","Close",728,1
"101","self-matching","formal",1,9,"Matching","C.bmp","Self","Self","Self","Sie","Sie","You","Self",544,1
"101","self-matching","formal",1,10,"Nonmatching","T.bmp","Stranger","Stranger","Stranger","Sie","Sie","You","Self",705,1
"101","self-matching","formal",1,11,"Matching","T.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",741,1
"101","self-matching","formal",1,12,"Nonmatching","C.bmp","Self","Self","Self","Fremder","Fremder","Stranger","Stranger",637,1
"101","self-matching","formal",1,13,"Matching","S.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",657,1
"101","self-matching","formal",1,14,"Matching","S.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",755,1
"101","self-matching","formal",1,15,"Nonmatching","S.bmp","Friend","Friend","Close","Sie","Sie","You","Self",369,0
"101","self-matching","formal",1,16,"Nonmatching","S.bmp","Friend","Friend","Close","Fremder","Fremder","Stranger","Stranger",498,0
"101","self-matching","formal",1,17,"Matching","C.bmp","Self","Self","Self","Sie","Sie","You","Self",393,1
"101","self-matching","formal",1,18,"Nonmatching","T.bmp","Stranger","Stranger","Stranger","Freund","Freund","Friend","Close",820,0
"101","self-matching","formal",1,19,"Matching","T.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",841,1
