"Subject_ID","Exp_id","Age","Gender","Handedness","Group","Date"
"101","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","03-27-2017"
"102","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","03-27-2017"
"103","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","03-27-2017"
"104","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","03-27-2017"
"105","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","03-27-2017"
"106","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","03-27-2017"
"107","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-03-2017"
"108","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-03-2017"
"109","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-03-2017"
"110","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-03-2017"
"111","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-24-2017"
"112","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-24-2017"
"114","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","05-16-2017"
"116","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","05-16-2017"
"118","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","05-16-2017"
"121","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","05-18-2017"
"123","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","05-18-2017"
"124","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","05-18-2017"
"202","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","03-30-2017"
"203","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","03-30-2017"
"205","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","03-30-2017"
"208","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","03-30-2017"
"209","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-06-2017"
"211","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-06-2017"
"212","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-06-2017"
"213","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-06-2017"
"214","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-06-2017"
"215","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-06-2017"
"216","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-06-2017"
"218","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-06-2017"
"219","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-27-2017"
"220","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-27-2017"
"222","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-27-2017"
"223","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-27-2017"
"224","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-27-2017"
"225","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-27-2017"
"226","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-27-2017"
"227","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-27-2017"
"228","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-27-2017"
"229","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-27-2017"
"230","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-27-2017"
"301","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-01-2017"
"302","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-01-2017"
"303","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-01-2017"
"304","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-01-2017"
"305","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-01-2017"
"306","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-01-2017"
"307","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-01-2017"
"308","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-01-2017"
"309","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-08-2017"
"310","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-08-2017"
"311","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-08-2017"
"312","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","04-08-2017"
"313","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-29-2017"
"314","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-29-2017"
"315","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-29-2017"
"316","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","04-29-2017"
"317","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","05-06-2017"
"318","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","05-06-2017"
"319","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","05-06-2017"
"320","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","05-06-2017"
"321","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","control-inhibition","05-06-2017"
"323","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","05-06-2017"
"324","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","05-06-2017"
"325","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","05-13-2017"
"326","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","05-13-2017"
"327","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","05-13-2017"
"328","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","05-13-2017"
"401","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-10-2017"
"402","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","be-imitated","04-10-2017"
"405","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation-inhibition","04-10-2017"
"408","Bukowski_2021_ActaPsych_Exp1","/","Female","Right","imitation","05-04-2017"
