"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","Group"
89,"Orellana-Corrales_2023_QJEP_Exp1",23,"female","right","/","/","Germany","German","/","new (shapes)"
90,"Orellana-Corrales_2023_QJEP_Exp1",27,"male","right","/","/","Germany","German","/","new (shapes)"
91,"Orellana-Corrales_2023_QJEP_Exp1",22,"male","right","/","/","Germany","German","/","new (shapes)"
92,"Orellana-Corrales_2023_QJEP_Exp1",22,"male","right","/","/","Germany","German","/","new (shapes)"
93,"Orellana-Corrales_2023_QJEP_Exp1",31,"male","right","/","/","Germany","German","/","new (shapes)"
94,"Orellana-Corrales_2023_QJEP_Exp1",24,"male","right","/","/","Germany","German","/","new (shapes)"
95,"Orellana-Corrales_2023_QJEP_Exp1",20,"male","left","/","/","Germany","German","/","new (shapes)"
96,"Orellana-Corrales_2023_QJEP_Exp1",66,"female","right","/","/","Germany","German","/","new (shapes)"
97,"Orellana-Corrales_2023_QJEP_Exp1",43,"male","right","/","/","Germany","German","/","new (shapes)"
98,"Orellana-Corrales_2023_QJEP_Exp1",27,"female","right","/","/","Germany","German","/","new (shapes)"
99,"Orellana-Corrales_2023_QJEP_Exp1",23,"male","left","/","/","Germany","German","/","new (shapes)"
100,"Orellana-Corrales_2023_QJEP_Exp1",18,"female","right","/","/","Germany","German","/","new (shapes)"
101,"Orellana-Corrales_2023_QJEP_Exp1",20,"male","right","/","/","Germany","German","/","new (shapes)"
102,"Orellana-Corrales_2023_QJEP_Exp1",19,"male","left","/","/","Germany","German","/","new (shapes)"
103,"Orellana-Corrales_2023_QJEP_Exp1",21,"male","left","/","/","Germany","German","/","new (shapes)"
104,"Orellana-Corrales_2023_QJEP_Exp1",21,"female","right","/","/","Germany","German","/","new (shapes)"
105,"Orellana-Corrales_2023_QJEP_Exp1",45,"male","right","/","/","Germany","German","/","new (shapes)"
106,"Orellana-Corrales_2023_QJEP_Exp1",25,"female","right","/","/","Germany","German","/","new (shapes)"
107,"Orellana-Corrales_2023_QJEP_Exp1",23,"female","right","/","/","Germany","German","/","new (shapes)"
108,"Orellana-Corrales_2023_QJEP_Exp1",61,"female","right","/","/","Germany","German","/","new (shapes)"
109,"Orellana-Corrales_2023_QJEP_Exp1",68,"female","both","/","/","Germany","German","/","new (shapes)"
110,"Orellana-Corrales_2023_QJEP_Exp1",28,"male","right","/","/","Germany","German","/","new (shapes)"
111,"Orellana-Corrales_2023_QJEP_Exp1",27,"female","right","/","/","Germany","German","/","new (shapes)"
