"Subject","Trial","Shape","Label","Matching","ACC","RT_ms","bed","Ass","Group"
1,1,"Kreis3.png","Ich","Matching",1,914,"i_m",1,"words"
1,2,"Kreis1.png","Möbel","Nonmatching",1,851,"i_n",1,"words"
1,3,"Dreieck2.png","Möbel","Matching",0,684,"f_m",1,"words"
1,4,"Dreieck3.png","Ich","Nonmatching",1,909,"f_n",1,"words"
1,5,"Dreieck1.png","Ich","Nonmatching",1,1038,"f_n",1,"words"
1,6,"Dreieck1.png","Möbel","Matching",1,749,"f_m",1,"words"
1,7,"Kreis3.png","Möbel","Nonmatching",0,550,"i_n",1,"words"
1,8,"Kreis1.png","Ich","Matching",1,950,"i_m",1,"words"
1,9,"Dreieck5.png","Ich","Nonmatching",1,875,"f_n",1,"words"
1,10,"Kreis4.png","Ich","Matching",1,822,"i_m",1,"words"
1,11,"Kreis2.png","Ich","Matching",1,849,"i_m",1,"words"
1,12,"Kreis5.png","Möbel","Nonmatching",1,958,"i_n",1,"words"
1,13,"Dreieck4.png","Möbel","Matching",1,1303,"f_m",1,"words"
1,14,"Kreis5.png","Ich","Matching",1,1041,"i_m",1,"words"
1,15,"Dreieck5.png","Möbel","Matching",1,1167,"f_m",1,"words"
1,16,"Dreieck4.png","Ich","Nonmatching",1,766,"f_n",1,"words"
1,17,"Dreieck3.png","Möbel","Matching",1,1068,"f_m",1,"words"
1,18,"Kreis4.png","Möbel","Nonmatching",0,NA,"i_n",1,"words"
1,19,"Kreis2.png","Möbel","Nonmatching",1,970,"i_n",1,"words"
1,20,"Dreieck2.png","Ich","Nonmatching",0,467,"f_n",1,"words"
1,21,"Dreieck4.png","Möbel","Matching",1,1150,"f_m",1,"words"
1,22,"Kreis4.png","Ich","Matching",1,750,"i_m",1,"words"
1,23,"Kreis5.png","Möbel","Nonmatching",1,654,"i_n",1,"words"
1,24,"Dreieck1.png","Möbel","Matching",1,773,"f_m",1,"words"
1,25,"Dreieck2.png","Ich","Nonmatching",1,734,"f_n",1,"words"
1,26,"Kreis2.png","Ich","Matching",1,1218,"i_m",1,"words"
1,27,"Dreieck3.png","Möbel","Matching",1,1207,"f_m",1,"words"
1,28,"Dreieck2.png","Möbel","Matching",1,671,"f_m",1,"words"
1,29,"Kreis1.png","Ich","Matching",1,519,"i_m",1,"words"
1,30,"Dreieck3.png","Ich","Nonmatching",0,474,"f_n",1,"words"
1,31,"Kreis3.png","Möbel","Nonmatching",0,620,"i_n",1,"words"
1,32,"Kreis3.png","Ich","Matching",1,736,"i_m",1,"words"
1,33,"Dreieck4.png","Ich","Nonmatching",1,772,"f_n",1,"words"
1,34,"Dreieck1.png","Ich","Nonmatching",1,939,"f_n",1,"words"
1,35,"Kreis5.png","Ich","Matching",1,685,"i_m",1,"words"
1,36,"Dreieck5.png","Möbel","Matching",1,1109,"f_m",1,"words"
1,37,"Dreieck5.png","Ich","Nonmatching",1,734,"f_n",1,"words"
1,38,"Kreis1.png","Möbel","Nonmatching",1,1070,"i_n",1,"words"
1,39,"Kreis2.png","Möbel","Nonmatching",1,603,"i_n",1,"words"
1,40,"Kreis4.png","Möbel","Nonmatching",1,672,"i_n",1,"words"
1,41,"Dreieck4.png","Möbel","Matching",1,1004,"f_m",1,"words"
1,42,"Kreis2.png","Ich","Matching",1,952,"i_m",1,"words"
1,43,"Kreis3.png","Ich","Matching",1,643,"i_m",1,"words"
1,44,"Kreis1.png","Ich","Matching",1,619,"i_m",1,"words"
1,45,"Kreis4.png","Möbel","Nonmatching",1,721,"i_n",1,"words"
1,46,"Dreieck4.png","Ich","Nonmatching",1,890,"f_n",1,"words"
1,47,"Dreieck1.png","Möbel","Matching",1,934,"f_m",1,"words"
1,48,"Dreieck5.png","Möbel","Matching",1,870,"f_m",1,"words"
1,49,"Kreis2.png","Möbel","Nonmatching",1,769,"i_n",1,"words"
1,50,"Dreieck3.png","Ich","Nonmatching",1,1391,"f_n",1,"words"
1,51,"Kreis4.png","Ich","Matching",1,751,"i_m",1,"words"
1,52,"Kreis3.png","Möbel","Nonmatching",1,684,"i_n",1,"words"
1,53,"Kreis5.png","Möbel","Nonmatching",1,960,"i_n",1,"words"
1,54,"Dreieck5.png","Ich","Nonmatching",1,1205,"f_n",1,"words"
1,55,"Kreis1.png","Möbel","Nonmatching",1,1036,"i_n",1,"words"
1,56,"Dreieck2.png","Ich","Nonmatching",1,1267,"f_n",1,"words"
1,57,"Kreis5.png","Ich","Matching",0,NA,"i_m",1,"words"
1,58,"Dreieck1.png","Ich","Nonmatching",1,718,"f_n",1,"words"
1,59,"Dreieck2.png","Möbel","Matching",1,1125,"f_m",1,"words"
1,60,"Dreieck3.png","Möbel","Matching",1,784,"f_m",1,"words"
1,61,"Dreieck2.png","Ich","Nonmatching",1,820,"f_n",1,"words"
1,62,"Kreis4.png","Ich","Matching",1,667,"i_m",1,"words"
1,63,"Dreieck1.png","Ich","Nonmatching",1,719,"f_n",1,"words"
1,64,"Dreieck5.png","Ich","Nonmatching",0,668,"f_n",1,"words"
1,65,"Kreis5.png","Möbel","Nonmatching",1,937,"i_n",1,"words"
1,66,"Kreis2.png","Ich","Matching",1,690,"i_m",1,"words"
1,67,"Kreis1.png","Ich","Matching",1,685,"i_m",1,"words"
1,68,"Kreis2.png","Möbel","Nonmatching",1,749,"i_n",1,"words"
1,69,"Dreieck1.png","Möbel","Matching",1,1257,"f_m",1,"words"
1,70,"Dreieck4.png","Ich","Nonmatching",1,802,"f_n",1,"words"
1,71,"Kreis3.png","Möbel","Nonmatching",1,1332,"i_n",1,"words"
1,72,"Dreieck5.png","Möbel","Matching",1,888,"f_m",1,"words"
1,73,"Dreieck3.png","Ich","Nonmatching",1,751,"f_n",1,"words"
1,74,"Dreieck2.png","Möbel","Matching",1,1200,"f_m",1,"words"
1,75,"Kreis4.png","Möbel","Nonmatching",1,825,"i_n",1,"words"
1,76,"Kreis3.png","Ich","Matching",1,805,"i_m",1,"words"
1,77,"Kreis1.png","Möbel","Nonmatching",1,674,"i_n",1,"words"
1,78,"Dreieck3.png","Möbel","Matching",0,NA,"f_m",1,"words"
1,79,"Dreieck4.png","Möbel","Matching",1,753,"f_m",1,"words"
1,80,"Kreis5.png","Ich","Matching",1,792,"i_m",1,"words"
1,81,"Kreis5.png","Möbel","Nonmatching",1,701,"i_n",1,"words"
1,82,"Dreieck2.png","Ich","Nonmatching",1,865,"f_n",1,"words"
1,83,"Kreis4.png","Ich","Matching",1,567,"i_m",1,"words"
1,84,"Kreis1.png","Ich","Matching",1,571,"i_m",1,"words"
1,85,"Dreieck3.png","Möbel","Matching",1,752,"f_m",1,"words"
1,86,"Kreis2.png","Möbel","Nonmatching",1,858,"i_n",1,"words"
1,87,"Dreieck1.png","Möbel","Matching",1,1019,"f_m",1,"words"
1,88,"Dreieck4.png","Möbel","Matching",1,668,"f_m",1,"words"
1,89,"Kreis1.png","Möbel","Nonmatching",1,668,"i_n",1,"words"
1,90,"Kreis2.png","Ich","Matching",1,648,"i_m",1,"words"
1,91,"Kreis3.png","Ich","Matching",1,634,"i_m",1,"words"
1,92,"Dreieck5.png","Möbel","Matching",1,664,"f_m",1,"words"
1,93,"Dreieck3.png","Ich","Nonmatching",0,766,"f_n",1,"words"
1,94,"Kreis4.png","Möbel","Nonmatching",1,842,"i_n",1,"words"
1,95,"Kreis5.png","Ich","Matching",1,607,"i_m",1,"words"
1,96,"Dreieck4.png","Ich","Nonmatching",1,785,"f_n",1,"words"
1,97,"Dreieck2.png","Möbel","Matching",1,802,"f_m",1,"words"
1,98,"Dreieck5.png","Ich","Nonmatching",1,732,"f_n",1,"words"
1,99,"Dreieck1.png","Ich","Nonmatching",1,1170,"f_n",1,"words"
1,100,"Kreis3.png","Möbel","Nonmatching",1,900,"i_n",1,"words"
1,101,"Dreieck1.png","Ich","Nonmatching",1,874,"f_n",1,"words"
1,102,"Kreis4.png","Ich","Matching",1,618,"i_m",1,"words"
1,103,"Kreis2.png","Möbel","Nonmatching",1,880,"i_n",1,"words"
1,104,"Kreis1.png","Möbel","Nonmatching",1,751,"i_n",1,"words"
1,105,"Dreieck4.png","Ich","Nonmatching",1,851,"f_n",1,"words"
1,106,"Kreis2.png","Ich","Matching",1,794,"i_m",1,"words"
1,107,"Kreis1.png","Ich","Matching",1,551,"i_m",1,"words"
1,108,"Dreieck1.png","Möbel","Matching",1,833,"f_m",1,"words"
1,109,"Kreis3.png","Möbel","Nonmatching",1,784,"i_n",1,"words"
1,110,"Dreieck5.png","Möbel","Matching",1,1019,"f_m",1,"words"
1,111,"Kreis5.png","Möbel","Nonmatching",1,753,"i_n",1,"words"
1,112,"Kreis5.png","Ich","Matching",1,834,"i_m",1,"words"
1,113,"Kreis4.png","Möbel","Nonmatching",1,817,"i_n",1,"words"
1,114,"Dreieck2.png","Ich","Nonmatching",1,790,"f_n",1,"words"
1,115,"Dreieck3.png","Möbel","Matching",1,924,"f_m",1,"words"
1,116,"Dreieck3.png","Ich","Nonmatching",1,726,"f_n",1,"words"
1,117,"Dreieck4.png","Möbel","Matching",1,1318,"f_m",1,"words"
1,118,"Kreis3.png","Ich","Matching",1,670,"i_m",1,"words"
1,119,"Dreieck5.png","Ich","Nonmatching",1,701,"f_n",1,"words"
1,120,"Dreieck2.png","Möbel","Matching",1,1166,"f_m",1,"words"
1,121,"Dreieck2.png","Ich","Nonmatching",1,873,"f_n",1,"words"
1,122,"Kreis4.png","Ich","Matching",1,590,"i_m",1,"words"
1,123,"Dreieck1.png","Ich","Nonmatching",1,1067,"f_n",1,"words"
1,124,"Dreieck4.png","Ich","Nonmatching",1,866,"f_n",1,"words"
1,125,"Dreieck5.png","Möbel","Matching",1,784,"f_m",1,"words"
1,126,"Dreieck3.png","Möbel","Matching",1,1184,"f_m",1,"words"
1,127,"Dreieck2.png","Möbel","Matching",1,453,"f_m",1,"words"
1,128,"Dreieck5.png","Ich","Nonmatching",1,633,"f_n",1,"words"
1,129,"Kreis1.png","Möbel","Nonmatching",1,951,"i_n",1,"words"
1,130,"Kreis1.png","Ich","Matching",1,698,"i_m",1,"words"
1,131,"Kreis5.png","Ich","Matching",1,504,"i_m",1,"words"
1,132,"Dreieck3.png","Ich","Nonmatching",1,634,"f_n",1,"words"
1,133,"Kreis5.png","Möbel","Nonmatching",0,NA,"i_n",1,"words"
1,134,"Kreis4.png","Möbel","Nonmatching",1,937,"i_n",1,"words"
1,135,"Dreieck1.png","Möbel","Matching",1,702,"f_m",1,"words"
1,136,"Kreis3.png","Ich","Matching",1,858,"i_m",1,"words"
1,137,"Kreis2.png","Möbel","Nonmatching",1,685,"i_n",1,"words"
1,138,"Dreieck4.png","Möbel","Matching",1,968,"f_m",1,"words"
1,139,"Kreis3.png","Möbel","Nonmatching",0,651,"i_n",1,"words"
1,140,"Kreis2.png","Ich","Matching",1,568,"i_m",1,"words"
2,1,"Dreieck3.png","Ich","Nonmatching",0,591,"f_n",1,"words"
2,2,"Kreis5.png","Möbel","Nonmatching",0,NA,"i_n",1,"words"
2,3,"Kreis2.png","Ich","Matching",0,479,"i_m",1,"words"
2,4,"Dreieck1.png","Ich","Nonmatching",1,523,"f_n",1,"words"
2,5,"Dreieck5.png","Ich","Nonmatching",1,1084,"f_n",1,"words"
2,6,"Dreieck2.png","Möbel","Matching",0,NA,"f_m",1,"words"
2,7,"Kreis4.png","Möbel","Nonmatching",0,820,"i_n",1,"words"
2,8,"Kreis4.png","Ich","Matching",0,870,"i_m",1,"words"
2,9,"Kreis3.png","Ich","Matching",0,1235,"i_m",1,"words"
2,10,"Dreieck4.png","Möbel","Matching",0,1302,"f_m",1,"words"
2,11,"Dreieck4.png","Ich","Nonmatching",0,1250,"f_n",1,"words"
2,12,"Kreis1.png","Ich","Matching",0,649,"i_m",1,"words"
2,13,"Dreieck2.png","Ich","Nonmatching",0,1185,"f_n",1,"words"
2,14,"Dreieck5.png","Möbel","Matching",1,1135,"f_m",1,"words"
2,15,"Kreis1.png","Möbel","Nonmatching",1,505,"i_n",1,"words"
2,16,"Kreis2.png","Möbel","Nonmatching",1,801,"i_n",1,"words"
2,17,"Kreis3.png","Möbel","Nonmatching",1,536,"i_n",1,"words"
2,18,"Dreieck3.png","Möbel","Matching",0,NA,"f_m",1,"words"
2,19,"Dreieck1.png","Möbel","Matching",1,1023,"f_m",1,"words"
2,20,"Kreis5.png","Ich","Matching",0,804,"i_m",1,"words"
