"Subject","Trial","Shape","Label","Matching","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","RT_ms","RT_sec","ACC"
1,1,"Kreis3.png","Ich","Matching","Ich","self","Self","Ich","self","Self",914,0.914,1
1,2,"Kreis1.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",851,0.851,1
1,3,"Dreieck2.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",684,0.684,0
1,4,"Dreieck3.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",909,0.909,1
1,5,"Dreieck1.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",1038,1.038,1
1,6,"Dreieck1.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",749,0.749,1
1,7,"Kreis3.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",550,0.55,0
1,8,"Kreis1.png","Ich","Matching","Ich","self","Self","Ich","self","Self",950,0.95,1
1,9,"Dreieck5.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",875,0.875,1
1,10,"Kreis4.png","Ich","Matching","Ich","self","Self","Ich","self","Self",822,0.822,1
1,11,"Kreis2.png","Ich","Matching","Ich","self","Self","Ich","self","Self",849,0.849,1
1,12,"Kreis5.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",958,0.958,1
1,13,"Dreieck4.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1303,1.303,1
1,14,"Kreis5.png","Ich","Matching","Ich","self","Self","Ich","self","Self",1041,1.041,1
1,15,"Dreieck5.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1167,1.167,1
1,16,"Dreieck4.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",766,0.766,1
1,17,"Dreieck3.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1068,1.068,1
1,18,"Kreis4.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",NA,NA,NA
1,19,"Kreis2.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",970,0.97,1
1,20,"Dreieck2.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",467,0.467,0
1,21,"Dreieck4.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1150,1.15,1
1,22,"Kreis4.png","Ich","Matching","Ich","self","Self","Ich","self","Self",750,0.75,1
1,23,"Kreis5.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",654,0.654,1
1,24,"Dreieck1.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",773,0.773,1
1,25,"Dreieck2.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",734,0.734,1
1,26,"Kreis2.png","Ich","Matching","Ich","self","Self","Ich","self","Self",1218,1.218,1
1,27,"Dreieck3.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1207,1.207,1
1,28,"Dreieck2.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",671,0.671,1
1,29,"Kreis1.png","Ich","Matching","Ich","self","Self","Ich","self","Self",519,0.519,1
1,30,"Dreieck3.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",474,0.474,0
1,31,"Kreis3.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",620,0.62,0
1,32,"Kreis3.png","Ich","Matching","Ich","self","Self","Ich","self","Self",736,0.736,1
1,33,"Dreieck4.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",772,0.772,1
1,34,"Dreieck1.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",939,0.939,1
1,35,"Kreis5.png","Ich","Matching","Ich","self","Self","Ich","self","Self",685,0.685,1
1,36,"Dreieck5.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1109,1.109,1
1,37,"Dreieck5.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",734,0.734,1
1,38,"Kreis1.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",1070,1.07,1
1,39,"Kreis2.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",603,0.603,1
1,40,"Kreis4.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",672,0.672,1
1,41,"Dreieck4.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1004,1.004,1
1,42,"Kreis2.png","Ich","Matching","Ich","self","Self","Ich","self","Self",952,0.952,1
1,43,"Kreis3.png","Ich","Matching","Ich","self","Self","Ich","self","Self",643,0.643,1
1,44,"Kreis1.png","Ich","Matching","Ich","self","Self","Ich","self","Self",619,0.619,1
1,45,"Kreis4.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",721,0.721,1
1,46,"Dreieck4.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",890,0.89,1
1,47,"Dreieck1.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",934,0.934,1
1,48,"Dreieck5.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",870,0.87,1
1,49,"Kreis2.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",769,0.769,1
1,50,"Dreieck3.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",1391,1.391,1
1,51,"Kreis4.png","Ich","Matching","Ich","self","Self","Ich","self","Self",751,0.751,1
1,52,"Kreis3.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",684,0.684,1
1,53,"Kreis5.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",960,0.96,1
1,54,"Dreieck5.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",1205,1.205,1
1,55,"Kreis1.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",1036,1.036,1
1,56,"Dreieck2.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",1267,1.267,1
1,57,"Kreis5.png","Ich","Matching","Ich","self","Self","Ich","self","Self",NA,NA,NA
1,58,"Dreieck1.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",718,0.718,1
1,59,"Dreieck2.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1125,1.125,1
1,60,"Dreieck3.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",784,0.784,1
1,61,"Dreieck2.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",820,0.82,1
1,62,"Kreis4.png","Ich","Matching","Ich","self","Self","Ich","self","Self",667,0.667,1
1,63,"Dreieck1.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",719,0.719,1
1,64,"Dreieck5.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",668,0.668,0
1,65,"Kreis5.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",937,0.937,1
1,66,"Kreis2.png","Ich","Matching","Ich","self","Self","Ich","self","Self",690,0.69,1
1,67,"Kreis1.png","Ich","Matching","Ich","self","Self","Ich","self","Self",685,0.685,1
1,68,"Kreis2.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",749,0.749,1
1,69,"Dreieck1.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1257,1.257,1
1,70,"Dreieck4.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",802,0.802,1
1,71,"Kreis3.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",1332,1.332,1
1,72,"Dreieck5.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",888,0.888,1
1,73,"Dreieck3.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",751,0.751,1
1,74,"Dreieck2.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1200,1.2,1
1,75,"Kreis4.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",825,0.825,1
1,76,"Kreis3.png","Ich","Matching","Ich","self","Self","Ich","self","Self",805,0.805,1
1,77,"Kreis1.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",674,0.674,1
1,78,"Dreieck3.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",NA,NA,NA
1,79,"Dreieck4.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",753,0.753,1
1,80,"Kreis5.png","Ich","Matching","Ich","self","Self","Ich","self","Self",792,0.792,1
1,81,"Kreis5.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",701,0.701,1
1,82,"Dreieck2.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",865,0.865,1
1,83,"Kreis4.png","Ich","Matching","Ich","self","Self","Ich","self","Self",567,0.567,1
1,84,"Kreis1.png","Ich","Matching","Ich","self","Self","Ich","self","Self",571,0.571,1
1,85,"Dreieck3.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",752,0.752,1
1,86,"Kreis2.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",858,0.858,1
1,87,"Dreieck1.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1019,1.019,1
1,88,"Dreieck4.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",668,0.668,1
1,89,"Kreis1.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",668,0.668,1
1,90,"Kreis2.png","Ich","Matching","Ich","self","Self","Ich","self","Self",648,0.648,1
1,91,"Kreis3.png","Ich","Matching","Ich","self","Self","Ich","self","Self",634,0.634,1
1,92,"Dreieck5.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",664,0.664,1
1,93,"Dreieck3.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",766,0.766,0
1,94,"Kreis4.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",842,0.842,1
1,95,"Kreis5.png","Ich","Matching","Ich","self","Self","Ich","self","Self",607,0.607,1
1,96,"Dreieck4.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",785,0.785,1
1,97,"Dreieck2.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",802,0.802,1
1,98,"Dreieck5.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",732,0.732,1
1,99,"Dreieck1.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",1170,1.17,1
1,100,"Kreis3.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",900,0.9,1
1,101,"Dreieck1.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",874,0.874,1
1,102,"Kreis4.png","Ich","Matching","Ich","self","Self","Ich","self","Self",618,0.618,1
1,103,"Kreis2.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",880,0.88,1
1,104,"Kreis1.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",751,0.751,1
1,105,"Dreieck4.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",851,0.851,1
1,106,"Kreis2.png","Ich","Matching","Ich","self","Self","Ich","self","Self",794,0.794,1
1,107,"Kreis1.png","Ich","Matching","Ich","self","Self","Ich","self","Self",551,0.551,1
1,108,"Dreieck1.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",833,0.833,1
1,109,"Kreis3.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",784,0.784,1
1,110,"Dreieck5.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",1019,1.019,1
1,111,"Kreis5.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",753,0.753,1
1,112,"Kreis5.png","Ich","Matching","Ich","self","Self","Ich","self","Self",834,0.834,1
1,113,"Kreis4.png","Möbel","Nonmatching","Ich","self","Self","Möbel","furniture","NonPerson",817,0.817,1
1,114,"Dreieck2.png","Ich","Nonmatching","Möbel","furniture","NonPerson","Ich","self","Self",790,0.79,1
1,115,"Dreieck3.png","Möbel","Matching","Möbel","furniture","NonPerson","Möbel","furniture","NonPerson",924,0.924,1
