Experiment ID,Participant Public ID,NewGorillaID,Trial Number,Zone Type,RT,Accuracy,label,labelword,soundfile,participant_assignment,voiceidentity,speaker,trialtype,version,description,accent,blocktype,blocknumber,OriginalGorillaID,prolificid
140437,anonymised,9270918,1,response_keyboard_single,853.0999999046326,1,<p style="font-size: 1000%;">FRIEND</p>,friend,9197444_1.wav,friend,friend,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,2,response_keyboard_single,558.3000001907349,0,<p style="font-size: 1000%;">YOU</p>,you,M10_2.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,3,response_keyboard_single,823.5999999046326,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,9197444_1.wav,friend,friend,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,4,response_keyboard_single,1061.8999998569489,1,<p style="font-size: 1000%;">FRIEND</p>,friend,9197444_2.wav,friend,friend,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,5,response_keyboard_single,512.5,1,<p style="font-size: 1000%;">YOU</p>,you,M5_1.mp3,friend,self,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,6,response_keyboard_single,733.7000000476837,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,9197444_1.wav,friend,friend,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,7,response_keyboard_single,746,1,<p style="font-size: 1000%;">FRIEND</p>,friend,M10_2.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,8,response_keyboard_single,858.9000000953674,0,<p style="font-size: 1000%;">FRIEND</p>,friend,M10_1.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,9,response_keyboard_single,1166.2999999523165,1,<p style="font-size: 1000%;">FRIEND</p>,friend,M10_2.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,10,response_keyboard_single,1311.8999998569489,1,<p style="font-size: 1000%;">YOU</p>,you,9197444_2.wav,friend,friend,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,11,response_keyboard_single,885.3999998569489,1,<p style="font-size: 1000%;">YOU</p>,you,M10_2.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,12,response_keyboard_single,595.6000001430511,1,<p style="font-size: 1000%;">YOU</p>,you,M5_1.mp3,friend,self,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,13,response_keyboard_single,1000.0999999046326,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,M10_2.mp3,friend,other,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,14,response_keyboard_single,788.4000000953674,1,<p style="font-size: 1000%;">YOU</p>,you,M5_2.mp3,friend,self,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,15,response_keyboard_single,898.5,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,M10_2.mp3,friend,other,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,16,response_keyboard_single,546,1,<p style="font-size: 1000%;">FRIEND</p>,friend,9197444_2.wav,friend,friend,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,17,response_keyboard_single,574,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,9197444_2.wav,friend,friend,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,18,response_keyboard_single,545.5,1,<p style="font-size: 1000%;">YOU</p>,you,M5_2.mp3,friend,self,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,19,response_keyboard_single,785.8999998569489,1,<p style="font-size: 1000%;">FRIEND</p>,friend,M5_1.mp3,friend,self,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,20,response_keyboard_single,764.1000001430511,1,<p style="font-size: 1000%;">FRIEND</p>,friend,M5_2.mp3,friend,self,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,21,response_keyboard_single,1091.2000000476835,0,<p style="font-size: 1000%;">YOU</p>,you,M10_2.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,22,response_keyboard_single,764.5,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,M10_1.mp3,friend,other,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,23,response_keyboard_single,525.2000000476837,1,<p style="font-size: 1000%;">YOU</p>,you,M5_1.mp3,friend,self,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,24,response_keyboard_single,384.7000000476837,1,<p style="font-size: 1000%;">FRIEND</p>,friend,9197444_1.wav,friend,friend,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,25,response_keyboard_single,460.7999999523163,1,<p style="font-size: 1000%;">YOU</p>,you,M5_2.mp3,friend,self,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,26,response_keyboard_single,779.7000000476837,1,<p style="font-size: 1000%;">YOU</p>,you,9197444_2.wav,friend,friend,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,27,response_keyboard_single,615.3000001907349,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,M5_2.mp3,friend,self,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,28,response_keyboard_single,786.7000000476837,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,M10_2.mp3,friend,other,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,29,response_keyboard_single,668.7999999523163,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,M5_1.mp3,friend,self,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,30,response_keyboard_single,450.7000000476837,1,<p style="font-size: 1000%;">FRIEND</p>,friend,9197444_2.wav,friend,friend,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,31,response_keyboard_single,543,1,<p style="font-size: 1000%;">FRIEND</p>,friend,9197444_1.wav,friend,friend,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,32,response_keyboard_single,633.7999999523163,1,<p style="font-size: 1000%;">STRANGER</p>,stranger,M5_2.mp3,friend,self,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,33,response_keyboard_single,367.30000019073486,1,<p style="font-size: 1000%;">FRIEND</p>,friend,9197444_1.wav,friend,friend,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,34,response_keyboard_single,694.6000001430511,1,<p style="font-size: 1000%;">FRIEND</p>,friend,M10_1.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,35,response_keyboard_single,1098.5,0,<p style="font-size: 1000%;">STRANGER</p>,stranger,M10_2.mp3,friend,other,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,36,response_keyboard_single,422.7999999523163,1,<p style="font-size: 1000%;">YOU</p>,you,M5_1.mp3,friend,self,participant,MATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
140437,anonymised,9270918,37,response_keyboard_single,1130.6999998092651,0,<p style="font-size: 1000%;">YOU</p>,you,M10_1.mp3,friend,other,participant,MISMATCH,F1O3S2,FriendSpeaker1_OtherSpeaker3_SelfSpeaker2,English,mainexperiment,1,9197444,anonymised
