"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
179,6,94,"S.bmp","你","Matching","你","Self","Self","你","Self","Self",1,700,0.7,1
179,6,95,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,780,0.78,1
179,6,96,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,860,0.86,1
179,NA,NA,"S.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
179,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
179,NA,NA,"S.bmp","你","Matching","你","Self","Self","你","Self","Self",2,7,0.007,0
179,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,1,1,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,967,0.967,1
180,1,2,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,1079,1.079,1
180,1,3,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,640,0.64,1
180,1,4,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,736,0.736,1
180,1,5,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,519,0.519,1
180,1,6,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,647,0.647,0
180,1,7,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,503,0.503,1
180,1,8,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,751,0.751,1
180,1,9,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,503,0.503,1
180,1,10,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,488,0.488,1
180,1,11,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,384,0.384,1
180,1,12,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,696,0.696,1
180,1,13,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,496,0.496,0
180,1,14,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,1,15,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,616,0.616,1
180,1,16,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,650,0.65,1
180,2,17,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,915,0.915,0
180,2,18,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,923,0.923,1
180,2,19,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,547,0.547,1
