"Subject","Trial","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC","Face"
"1","1","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1143","1.143","1","m35"
"1","2","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","588","0.588","1","f27"
"1","3","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","966","0.966","1","m33"
"1","4","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","558","0.558","0","f27"
"1","5","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1531","1.531","1","m33"
"1","6","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","791","0.791","0","f15"
"1","7","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","984","0.984","1","m33"
"1","8","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","848","0.848","1","m35"
"1","9","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","left","804","0.804","0","m34"
"1","10","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","769","0.769","1","f27"
"1","11","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","1252","1.252","0","f18"
"1","12","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","1105","1.105","1","m34"
"1","13","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1774","1.774","1","f4"
"1","14","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","770","0.77","1","m34"
"1","15","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","1629","1.629","1","m34"
"1","16","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","1292","1.292","0","f27"
"1","17","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","596","0.596","1","f18"
"1","18","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","722","0.722","1","m33"
"1","19","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","873","0.873","1","m35"
"1","20","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1342","1.342","1","m38"
"1","21","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","722","0.722","1","m38"
"1","22","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","869","0.869","1","f15"
"1","23","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","923","0.923","1","m33"
"1","24","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","868","0.868","1","m35"
"1","25","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","823","0.823","1","m35"
"1","26","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","988","0.988","0","f15"
"1","27","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","710","0.71","1","m33"
