"Subject","Trial","Block","Shape","ShapeIdentity","Matching","ACC","RT_ms","resp_type"
10,1,1,"circle","you","Matching",NA,NA,"missed"
10,2,1,"square","stranger","Nonmatching",0,446,"incorrect"
10,3,1,"circle","you","Nonmatching",0,664,"incorrect"
10,4,1,"square","stranger","Matching",0,569,"incorrect"
10,5,1,"circle","you","Matching",1,582,"correct"
10,6,1,"square","stranger","Matching",0,508,"incorrect"
10,7,1,"circle","you","Nonmatching",0,594,"incorrect"
10,8,1,"square","stranger","Nonmatching",1,916,"correct"
10,9,1,"circle","you","Nonmatching",0,553,"incorrect"
10,10,1,"circle","you","Matching",1,738,"correct"
10,11,1,"square","stranger","Matching",0,620,"incorrect"
10,12,1,"square","stranger","Nonmatching",NA,NA,"missed"
10,13,1,"square","stranger","Nonmatching",1,794,"correct"
10,14,1,"square","stranger","Matching",1,656,"correct"
10,15,1,"circle","you","Matching",0,766,"incorrect"
10,16,1,"circle","you","Nonmatching",1,806,"correct"
10,17,1,"square","stranger","Nonmatching",0,572,"incorrect"
10,18,1,"square","stranger","Matching",0,586,"incorrect"
10,19,1,"circle","you","Matching",1,639,"correct"
10,20,1,"circle","you","Nonmatching",0,573,"incorrect"
10,21,1,"circle","you","Nonmatching",1,668,"correct"
10,22,1,"square","stranger","Nonmatching",0,726,"incorrect"
10,23,1,"circle","you","Matching",1,973,"correct"
10,24,1,"square","stranger","Matching",0,568,"incorrect"
10,25,1,"circle","you","Matching",1,571,"correct"
10,26,1,"square","stranger","Nonmatching",1,555,"correct"
10,27,1,"circle","you","Nonmatching",0,943,"incorrect"
10,28,1,"square","stranger","Matching",0,617,"incorrect"
10,29,1,"circle","you","Matching",1,563,"correct"
10,30,1,"square","stranger","Matching",0,424,"incorrect"
10,31,1,"circle","you","Nonmatching",0,622,"incorrect"
10,32,1,"square","stranger","Nonmatching",1,649,"correct"
10,33,1,"square","stranger","Matching",NA,NA,"missed"
10,34,1,"square","stranger","Nonmatching",1,859,"correct"
10,35,1,"circle","you","Matching",1,780,"correct"
10,36,1,"circle","you","Nonmatching",1,642,"correct"
10,37,1,"circle","you","Nonmatching",1,571,"correct"
10,38,1,"square","stranger","Nonmatching",0,650,"incorrect"
10,39,1,"square","stranger","Matching",0,705,"incorrect"
10,40,1,"circle","you","Matching",1,804,"correct"
10,41,1,"circle","you","Nonmatching",1,640,"correct"
10,42,1,"square","stranger","Nonmatching",NA,NA,"missed"
10,43,1,"circle","you","Matching",1,743,"correct"
