"Subject","phase","condition","label","shape","correct","match","label_identity","shape_identity","group","key_resp.keys","key_resp.corr","key_resp.rt","key_resp_formal.keys","key_resp_formal.corr","key_resp_formal.rt","ID","age","sex","date","expName","psychopyVersion","frameRate"
"101","practice","2B","friend","triangle.png","m",1,2,2,4,"m",1,0.4583945,NA,NA,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","practice","2B","self","triangle.png","z",0,1,2,4,"z",1,0.9159946,NA,NA,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","practice","2B","self","circle.png","m",1,1,1,4,"m",1,0.4258914,NA,NA,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","practice","2B","other","circle.png","z",0,3,1,4,"z",1,0.4527618,NA,NA,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","practice","2B","friend","circle.png","z",0,2,1,4,"z",1,0.7013984,NA,NA,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.4572916,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.536194,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","triangle.png","z",0,3,2,4,NA,NA,NA,"z",1,0.397742,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.5697362,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.3887567,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.3689319,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.3721704,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.3447374,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"m",0,0.3258874,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.4843874,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.786768,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
