"Subject","Block","Trial","Matching","Shape","Shape_Subtype","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","RT_ms","RT_sec","ACC"
2001,1,1,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",720,0.72,1
2001,1,2,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",489,0.489,1
2001,1,3,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",427,0.427,1
2001,1,4,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",518,0.518,1
2001,1,5,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",909,0.909,1
2001,1,6,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",679,0.679,1
2001,1,7,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",677,0.677,1
2001,1,8,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",428,0.428,1
2001,1,9,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",507,0.507,1
2001,1,10,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",736,0.736,1
2001,1,11,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",597,0.597,1
2001,1,12,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",547,0.547,1
2001,1,13,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",528,0.528,1
2001,1,14,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",627,0.627,1
2001,1,15,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",373,0.373,1
2001,1,16,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",443,0.443,1
2001,1,17,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",506,0.506,1
2001,1,18,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",546,0.546,1
2001,1,19,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",797,0.797,1
2001,1,20,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",1675,1.675,1
2001,1,21,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",672,0.672,1
2001,1,22,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",457,0.457,1
2001,1,23,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",557,0.557,1
2001,1,24,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",438,0.438,1
2001,1,25,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",431,0.431,1
2001,1,26,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",650,0.65,1
2001,1,27,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",398,0.398,0
2001,1,28,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",373,0.373,1
2001,1,29,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",476,0.476,1
2001,1,30,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",500,0.5,1
2001,1,31,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",469,0.469,1
2001,1,32,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",739,0.739,1
2001,1,33,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",642,0.642,1
2001,1,34,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",530,0.53,1
2001,1,35,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",495,0.495,1
2001,1,36,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",548,0.548,1
2001,1,37,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",640,0.64,1
2001,1,38,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",573,0.573,1
2001,1,39,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",524,0.524,1
2001,1,40,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",504,0.504,1
2001,1,41,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",385,0.385,1
2001,1,42,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",408,0.408,1
2001,1,43,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",699,0.699,1
2001,1,44,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",631,0.631,1
2001,1,45,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",684,0.684,1
2001,1,46,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",371,0.371,1
2001,1,47,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",350,0.35,1
2001,1,48,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",588,0.588,1
2001,1,49,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",415,0.415,1
2001,1,50,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",469,0.469,1
2001,1,51,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",404,0.404,1
2001,1,52,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",770,0.77,1
2001,1,53,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",372,0.372,1
2001,1,54,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",336,0.336,1
