"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","ACC"
"34","1","1","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","624","1"
"34","1","2","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","457","0"
"34","1","3","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","434","0"
"34","1","4","circle","you","self-matching","Matching","you","You","Self","you","You","Self","780","1"
"34","1","5","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","664","1"
"34","1","6","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","745","0"
"34","1","7","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","843","1"
"34","1","8","circle","you","self-matching","Matching","you","You","Self","you","You","Self","560","1"
"34","1","9","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","766","1"
"34","1","10","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","711","1"
"34","1","11","circle","you","self-matching","Matching","you","You","Self","you","You","Self","587","1"
"34","1","12","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","592","1"
"34","1","13","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","919","1"
"34","1","14","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","633","1"
"34","1","15","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","582","1"
"34","1","16","circle","you","self-matching","Matching","you","You","Self","you","You","Self","727","1"
"34","1","17","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","471","1"
"34","1","18","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","900","1"
"34","1","19","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","909","0"
"34","1","20","circle","you","self-matching","Matching","you","You","Self","you","You","Self","616","1"
"34","1","21","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","676","1"
"34","1","22","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","663","1"
"34","1","23","circle","you","self-matching","Matching","you","You","Self","you","You","Self","803","1"
"34","1","24","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","558","0"
"34","1","25","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","710","0"
"34","1","26","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","904","1"
"34","1","27","circle","you","self-matching","Matching","you","You","Self","you","You","Self","947","1"
"34","1","28","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","542","0"
"34","1","29","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","798","0"
"34","1","30","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","549","0"
"34","1","31","circle","you","self-matching","Matching","you","You","Self","you","You","Self","652","1"
"34","1","32","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","898","1"
"34","1","33","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","946","1"
"34","1","34","circle","you","self-matching","Matching","you","You","Self","you","You","Self","769","1"
"34","1","35","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","544","0"
"34","1","36","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","NA","NA"
"34","1","37","circle","you","self-matching","Matching","you","You","Self","you","You","Self","793","1"
"34","1","38","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","795","0"
"34","1","39","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","716","1"
"34","1","40","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","813","1"
"34","1","41","circle","you","self-matching","Matching","you","You","Self","you","You","Self","516","1"
"34","1","42","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","711","1"
"34","1","43","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","834","1"
"34","1","44","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","892","1"
"34","1","45","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","654","1"
"34","1","46","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","885","1"
"34","1","47","circle","you","self-matching","Matching","you","You","Self","you","You","Self","623","1"
"34","1","48","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","581","0"
"34","1","49","circle","you","self-matching","Matching","you","You","Self","you","You","Self","789","1"
"34","1","50","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","603","0"
"34","1","51","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","667","1"
"34","1","52","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","NA","NA"
"34","1","53","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","NA","NA"
"34","1","54","circle","you","self-matching","Matching","you","You","Self","you","You","Self","495","1"
"34","1","55","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","527","0"
"34","1","56","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","858","1"
"34","1","57","circle","you","self-matching","Matching","you","You","Self","you","You","Self","966","1"
"34","1","58","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","1028","1"
"34","1","59","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","650","0"
"34","1","60","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","1038","0"
"34","1","61","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","521","0"
"34","1","62","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","787","1"
"34","1","63","circle","you","self-matching","Matching","you","You","Self","you","You","Self","438","1"
"34","1","64","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","659","1"
"34","1","65","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","551","0"
"34","1","66","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","451","0"
"34","1","67","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","908","1"
"34","1","68","circle","you","self-matching","Matching","you","You","Self","you","You","Self","996","1"
"34","1","69","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","624","1"
"34","1","70","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","889","0"
"34","1","71","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","NA","NA"
"34","1","72","circle","you","self-matching","Matching","you","You","Self","you","You","Self","793","1"
"34","1","73","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","586","0"
"34","1","74","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","591","1"
"34","1","75","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","512","0"
"34","1","76","circle","you","self-matching","Matching","you","You","Self","you","You","Self","640","1"
"34","1","77","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","550","1"
"34","1","78","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","833","0"
"34","1","79","circle","you","self-matching","Matching","you","You","Self","you","You","Self","854","0"
"34","1","80","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","NA","NA"
"34","1","81","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","671","0"
"34","1","82","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","NA","NA"
"34","1","83","circle","you","self-matching","Matching","you","You","Self","you","You","Self","733","0"
"34","1","84","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","628","1"
"34","1","85","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","1024","1"
"34","1","86","circle","you","self-matching","Matching","you","You","Self","you","You","Self","673","1"
"34","1","87","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","761","1"
"34","1","88","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","961","1"
"34","1","89","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","736","0"
"34","1","90","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","712","0"
"34","1","91","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","861","1"
"34","1","92","circle","you","self-matching","Matching","you","You","Self","you","You","Self","971","1"
"34","1","93","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","620","0"
"34","1","94","circle","you","self-matching","Matching","you","You","Self","you","You","Self","518","1"
"34","1","95","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","NA","NA"
"34","1","96","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","769","1"
"34","1","97","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","742","1"
"34","1","98","circle","you","self-matching","Matching","you","You","Self","you","You","Self","533","1"
"34","1","99","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","709","1"
"34","1","100","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","613","1"
"34","1","101","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","691","1"
"34","1","102","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","597","1"
"34","1","103","circle","you","self-matching","Matching","you","You","Self","you","You","Self","818","1"
"34","1","104","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","816","0"
"34","1","105","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","783","1"
"34","1","106","circle","you","self-matching","Matching","you","You","Self","you","You","Self","606","1"
"34","1","107","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","656","1"
"34","1","108","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","659","0"
"34","1","109","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","732","1"
"34","1","110","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","825","0"
"34","1","111","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","792","0"
"34","1","112","circle","you","self-matching","Matching","you","You","Self","you","You","Self","664","1"
"34","1","113","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","732","0"
"34","1","114","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","709","0"
"34","1","115","circle","you","self-matching","Matching","you","You","Self","you","You","Self","628","1"
"34","1","116","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","659","1"
"34","1","117","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","810","1"
"34","1","118","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","880","0"
"34","1","119","circle","you","self-matching","Matching","you","You","Self","you","You","Self","702","1"
"34","1","120","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","541","0"
"34","2","121","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","697","1"
"34","2","122","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","755","1"
"34","2","123","circle","you","self-matching","Matching","you","You","Self","you","You","Self","645","1"
"34","2","124","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","897","1"
"34","2","125","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","NA","NA"
"34","2","126","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","583","1"
"34","2","127","circle","you","self-matching","Matching","you","You","Self","you","You","Self","551","1"
"34","2","128","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","633","1"
"34","2","129","circle","you","self-matching","Matching","you","You","Self","you","You","Self","908","1"
