"Subject","Block","Trial","Matching","Shape","Shape_Subtype","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
1001,1,1,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",430,0.43,1
1001,1,2,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",423,0.423,1
1001,1,3,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",567,0.567,1
1001,1,4,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",496,0.496,1
1001,1,5,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",518,0.518,1
1001,1,6,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",631,0.631,1
1001,1,7,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",613,0.613,1
1001,1,8,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",434,0.434,1
1001,1,9,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",566,0.566,1
1001,1,10,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",456,0.456,1
1001,1,11,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",376,0.376,1
1001,1,12,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",398,0.398,1
1001,1,13,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",388,0.388,1
1001,1,14,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",382,0.382,1
1001,1,15,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",380,0.38,1
1001,1,16,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",510,0.51,1
1001,1,17,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",668,0.668,1
1001,1,18,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",380,0.38,1
1001,1,19,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",356,0.356,1
1001,1,20,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",408,0.408,1
1001,1,21,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",421,0.421,1
