"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"1001","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1002","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1003","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1004","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1005","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1006","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1007","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1008","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1009","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1101","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1102","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1103","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1104","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1105","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1106","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1107","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1108","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
"1109","Wozniak_2018_PLOS_Exp1","/","/","/","/","/","/","/","/"
