Subject,Session,Age,Handedness,Sex,BlockList.Sample,PracList.Sample,SubTrial,Label,Target,Shape,morality,identity,YesNoResp,CorrectAnswer,Targetprac.RESP,Targetprac.ACC,Targetprac.RT,Target.RESP,Target.ACC,Target.RT,,
6201,1,21,right,male,,1,53,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,1009,,,,,
6201,1,21,right,male,,1,54,NormalOther.bmp,Tra.bmp,Normalself,normal,other,No,k,,0,0,,,,,
6201,1,21,right,male,,1,55,BadOther.bmp,P.bmp,Goodother,immoral,other,No,k,k,1,562,,,,,
6201,1,21,right,male,,1,56,NormalSelf.bmp,T.bmp,Badother,normal,self,No,k,m,0,285,,,,,
6201,1,21,right,male,,1,57,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,k,0,1033,,,,,
6201,1,21,right,male,,1,58,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,566,,,,,
6201,1,21,right,male,,1,59,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,k,0,850,,,,,
6201,1,21,right,male,,1,60,BadSelf.bmp,T.bmp,Badother,immoral,self,No,k,k,1,830,,,,,
6201,1,21,right,male,,1,61,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,716,,,,,
6201,1,21,right,male,,1,62,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,968,,,,,
6201,1,21,right,male,,1,63,GoodSelf.bmp,D.bmp,Badself,moral,self,No,k,m,0,476,,,,,
6201,1,21,right,male,,1,64,GoodSelf.bmp,Tra.bmp,Normalself,moral,self,No,k,k,1,712,,,,,
6201,1,21,right,male,,1,65,GoodOther.bmp,S.bmp,Normalother,moral,other,No,k,m,0,773,,,,,
6201,1,21,right,male,,1,66,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,k,0,913,,,,,
6201,1,21,right,male,,1,67,NormalSelf.bmp,D.bmp,Badself,normal,self,No,k,,0,0,,,,,
6201,1,21,right,male,,1,68,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,1010,,,,,
6201,1,21,right,male,,1,69,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,70,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,913,,,,,
6201,1,21,right,male,,1,71,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,652,,,,,
6201,1,21,right,male,,1,72,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,608,,,,,
6201,1,21,right,male,,1,73,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,389,,,,,
6201,1,21,right,male,,1,74,BadOther.bmp,S.bmp,Normalother,immoral,other,No,k,,0,0,,,,,
6201,1,21,right,male,,1,75,GoodOther.bmp,C.bmp,Goodself,moral,other,No,k,m,0,309,,,,,
6201,1,21,right,male,,1,76,BadSelf.bmp,P.bmp,Goodother,immoral,self,No,k,,0,0,,,,,
6201,1,21,right,male,,1,77,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,822,,,,,
6201,1,21,right,male,,1,78,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,79,BadOther.bmp,P.bmp,Goodother,immoral,other,No,k,m,0,783,,,,,
6201,1,21,right,male,,1,80,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,81,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,455,,,,,
6201,1,21,right,male,,1,82,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,907,,,,,
6201,1,21,right,male,,1,83,NormalSelf.bmp,T.bmp,Badother,normal,self,No,k,k,1,535,,,,,
6201,1,21,right,male,,1,84,BadOther.bmp,Tra.bmp,Normalself,immoral,other,No,k,,0,0,,,,,
6201,1,21,right,male,,1,85,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,1070,,,,,
6201,1,21,right,male,,1,86,NormalSelf.bmp,P.bmp,Goodother,normal,self,No,k,k,1,780,,,,,
6201,1,21,right,male,,1,87,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,417,,,,,
6201,1,21,right,male,,1,88,BadSelf.bmp,T.bmp,Badother,immoral,self,No,k,m,0,757,,,,,
6201,1,21,right,male,,1,89,NormalOther.bmp,D.bmp,Badself,normal,other,No,k,m,0,825,,,,,
6201,1,21,right,male,,1,90,NormalOther.bmp,P.bmp,Goodother,normal,other,No,k,k,1,246,,,,,
6201,1,21,right,male,,1,91,GoodOther.bmp,T.bmp,Badother,moral,other,No,k,k,1,889,,,,,
6201,1,21,right,male,,1,92,GoodOther.bmp,D.bmp,Badself,moral,other,No,k,k,1,1006,,,,,
6201,1,21,right,male,,1,93,BadOther.bmp,C.bmp,Goodself,immoral,other,No,k,m,0,762,,,,,
6201,1,21,right,male,,1,94,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,k,0,1070,,,,,
6201,1,21,right,male,,1,95,BadOther.bmp,D.bmp,Badself,immoral,other,No,k,m,0,859,,,,,
6201,1,21,right,male,,1,96,GoodOther.bmp,Tra.bmp,Normalself,moral,other,No,k,k,1,647,,,,,
6201,1,21,right,male,,1,97,BadSelf.bmp,Tra.bmp,Normalself,immoral,self,No,k,m,0,1051,,,,,
6201,1,21,right,male,,1,98,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,99,NormalOther.bmp,Tra.bmp,Normalself,normal,other,No,k,m,0,684,,,,,
6201,1,21,right,male,,1,100,GoodSelf.bmp,T.bmp,Badother,moral,self,No,k,k,1,848,,,,,
6201,1,21,right,male,,1,101,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,956,,,,,
6201,1,21,right,male,,1,102,GoodSelf.bmp,S.bmp,Normalother,moral,self,No,k,k,1,936,,,,,
6201,1,21,right,male,,1,103,NormalOther.bmp,C.bmp,Goodself,normal,other,No,k,k,1,693,,,,,
6201,1,21,right,male,,1,104,GoodSelf.bmp,P.bmp,Goodother,moral,self,No,k,k,1,617,,,,,
6201,1,21,right,male,,1,105,NormalSelf.bmp,C.bmp,Goodself,normal,self,No,k,k,1,661,,,,,
6201,1,21,right,male,,1,106,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,1010,,,,,
6201,1,21,right,male,,1,107,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,k,0,854,,,,,
6201,1,21,right,male,,1,108,BadSelf.bmp,C.bmp,Goodself,immoral,self,No,k,k,1,762,,,,,
6201,1,21,right,male,,1,109,NormalSelf.bmp,S.bmp,Normalother,normal,self,No,k,m,0,894,,,,,
6201,1,21,right,male,,1,110,NormalOther.bmp,T.bmp,Badother,normal,other,No,k,,0,0,,,,,
6201,1,21,right,male,,1,111,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,k,0,999,,,,,
6201,1,21,right,male,,1,112,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,891,,,,,
6201,1,21,right,male,,1,113,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,375,,,,,
6201,1,21,right,male,,1,114,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,k,0,580,,,,,
6201,1,21,right,male,,1,115,BadSelf.bmp,S.bmp,Normalother,immoral,self,No,k,m,0,936,,,,,
6201,1,21,right,male,,1,116,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,k,0,796,,,,,
6201,1,21,right,male,,1,117,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,513,,,,,
6201,1,21,right,male,,1,118,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,996,,,,,
6201,1,21,right,male,,1,119,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,544,,,,,
6201,1,21,right,male,,1,120,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,917,,,,,
6201,1,21,right,male,,1,121,NormalOther.bmp,P.bmp,Goodother,normal,other,No,k,,0,0,,,,,
6201,1,21,right,male,,1,122,GoodOther.bmp,Tra.bmp,Normalself,moral,other,No,k,m,0,1070,,,,,
6201,1,21,right,male,,1,123,NormalSelf.bmp,C.bmp,Goodself,normal,self,No,k,k,1,827,,,,,
6201,1,21,right,male,,1,124,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,599,,,,,
6201,1,21,right,male,,1,125,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,524,,,,,
6201,1,21,right,male,,1,126,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,1000,,,,,
6201,1,21,right,male,,1,127,BadOther.bmp,P.bmp,Goodother,immoral,other,No,k,k,1,876,,,,,
6201,1,21,right,male,,1,128,NormalOther.bmp,D.bmp,Badself,normal,other,No,k,k,1,921,,,,,
6201,1,21,right,male,,1,129,NormalOther.bmp,C.bmp,Goodself,normal,other,No,k,k,1,733,,,,,
6201,1,21,right,male,,1,130,BadOther.bmp,Tra.bmp,Normalself,immoral,other,No,k,k,1,906,,,,,
6201,1,21,right,male,,1,131,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,k,0,781,,,,,
6201,1,21,right,male,,1,132,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,401,,,,,
6201,1,21,right,male,,1,133,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,134,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,786,,,,,
6201,1,21,right,male,,1,135,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,k,0,878,,,,,
6201,1,21,right,male,,1,136,GoodOther.bmp,C.bmp,Goodself,moral,other,No,k,m,0,947,,,,,
6201,1,21,right,male,,1,137,BadSelf.bmp,T.bmp,Badother,immoral,self,No,k,,0,0,,,,,
6201,1,21,right,male,,1,138,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,515,,,,,
6201,1,21,right,male,,1,139,BadSelf.bmp,C.bmp,Goodself,immoral,self,No,k,k,1,768,,,,,
