"Num","ID","Study","Exp","Country","Language","N (M/F)","Stimulus","Trials","License","Exp_Implement"
24,"Feldborg_2021_IJERPH","M Feldborg et al. (2021)","Exp1","UK","English","49 (7/40)","geometric shape and face","320","CC BY 4.0","Online Experiment"
25,"Golubickis_2021_ActaPsych","Golubickis & Macrae (2021)","Exp1","United Kingdom","English","30 (9/21)","geometric shape","360",NA,"Online Experiment"
26,"Golubickis_2021_ActaPsych","Golubickis & Macrae (2021)","Exp2","United Kingdom","English","25 (8/17)","geometric shape","360",NA,"Online Experiment"
27,"Haciahmet_2023_Psychophysiol","Haciahmet et al. (2023)","Exp1","Germany","German","40 (8/32)","geometric shape","240","CC BY 4.0","Lab Experiment"
28,"Hobbs_2023_PsychMed","Hobbs et al. (2023)","Exp1","United Kingdom","English","144 (31/112)","geometric shape and face and currency","360","CC BY 4.0","Lab Experiment"
29,"Hu_2020_CollabraPsy","Hu et al. (2020)","Exp1","China","Chinese","44 (19/27)","geometric shape","600","No License","Lab Experiment"
30,"Hu_2023_psyarxiv","Hu et al. (2023)","Exp3a","China","Chinese","38 (23/15)","geometric shape","720","CC-BY-4.0",NA
31,"Hu_2023_psyarxiv","Hu et al. (2023)","Exp3b","China","Chinese","61 (16/45)","geometric shape","720","CC-BY-4.0",NA
32,"Hu_2023_psyarxiv","Hu et al. (2023)","Exp4a","China","Chinese","32 (17/15)","geometric shape","360","CC-BY-4.0",NA
33,"Hu_2023_psyarxiv","Hu et al. (2023)","Exp4a","China","Chinese","32 (10/22)","geometric shape","720","CC-BY-4.0",NA
34,"Hu_2023_psyarxiv","Hu et al. (2023)","Exp6b","China","Chinese","23 (15/8)","geometric shape","2700-4320 (S1 1080 + S2 1620 + S3 0-1620 per subject)","CC-BY-4.0",NA
35,"Kirk_2025_BritJPsy","Neil W. Kirk et al. (2025)","Exp1","United Kingdom","English","35 (35/0)","voice","216","CC BY 4.0","Online Experiment"
36,"Kirk_2025_BritJPsy","Neil W. Kirk et al. (2025)","Exp2","United Kingdom","English","90 (90/0)","voice","216","CC BY 4.0","Online Experiment"
37,"Kolvoort_2020_HumBrainMap","IR Kolvoort et al. (2020)","Exp1","Canada","English","31 (17/14)","geometric shape","100",NA,"Lab Experiment"
38,"Lee_2023_Cognition","Lee et al. (2023)","Exp1","United Kingdom","English","47","geometric shape","96","CC BY 4.0","Online Experiment"
39,"Lee_2023_Cognition","Lee et al. (2023)","Exp2","United Kingdom","English","51","geometric shape","96","CC BY 4.0","Online Experiment"
40,"Lee_2026_BritJPsy","Lee et al. (2026)","Exp1a","United Kingdom","English","50 (27/23)","geometric shape","360",NA,"Online Experiment"
41,"Lee_2026_BritJPsy","Lee et al. (2026)","Exp1b","United Kingdom","English","53 (19/34)","geometric shape","360",NA,"Online Experiment"
