"Subject","Block","Trial","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"P24","1","15","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","770.110399927944","0.770110399927944","1"
"P24","1","16","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","1295.50580028445","1.29550580028445","1"
"P24","1","17","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","951.615200378001","0.951615200378001","1"
"P24","1","18","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","814.054199960083","0.814054199960083","1"
"P24","1","19","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","809.94029995054","0.80994029995054","1"
"P24","1","20","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","933.409200049937","0.933409200049937","1"
"P24","1","21","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","716.660699807107","0.716660699807107","1"
"P24","1","22","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","1132.75919994339","1.13275919994339","1"
"P24","1","23","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","987.567799631506","0.987567799631506","1"
"P24","1","24","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","944.023900199682","0.944023900199682","1"
"P24","1","25","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","742.3692997545","0.7423692997545","1"
"P24","1","26","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","901.086200028658","0.901086200028658","1"
"P24","1","27","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","844.660799950361","0.844660799950361","1"
"P24","1","28","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","951.355199795216","0.951355199795216","1"
"P24","1","29","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","1085.51329979673","1.08551329979673","1"
"P24","1","30","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","734.523000195622","0.734523000195622","1"
"P24","1","31","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","638.023299630731","0.638023299630731","1"
"P24","1","32","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","976.371599826962","0.976371599826962","1"
"P24","1","33","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","1077.46589975432","1.07746589975432","1"
"P24","1","34","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","822.606099769473","0.822606099769473","1"
"P24","1","35","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","849.686999805272","0.849686999805272","1"
"P24","1","36","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","859.275399707258","0.859275399707258","1"
"P24","1","37","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","933.151400182396","0.933151400182396","1"
"P24","1","38","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","956.384600140154","0.956384600140154","1"
"P24","1","39","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","785.852200351655","0.785852200351655","1"
"P24","1","40","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","734.083299990743","0.734083299990743","0"
"P24","1","41","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","940.706299617887","0.940706299617887","1"
"P24","1","42","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","c","1682.74120008573","1.68274120008573","0"
"P24","1","43","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","859.337199945003","0.859337199945003","1"
"P24","1","44","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","773.130899760872","0.773130899760872","1"
"P24","1","45","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","None","NA","NA","0"
"P24","1","46","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","1342.279500328","1.342279500328","1"
"P24","1","47","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","868.341899942607","0.868341899942607","1"
"P24","1","48","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","686.223199591041","0.686223199591041","1"
