"Image","Name","Face","CorrAns","Match","Face_onset","CResponse_onset","IResponse_onset","Match.thisRepN","Match.thisTrialN","Match.thisN","Match.thisIndex","Blocks.thisRepN","Blocks.thisTrialN","Blocks.thisN","Blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","text.started","text.stopped","p1.started","p1.stopped","MatchInstructions.started","MatchInstructions.stopped","Name1.started","Name1.stopped","Face_Relevance.started","Face_Relevance.stopped","MismatchInstructions.started","MismatchInstructions.stopped","Rest_trainingInstruct.started","Rest_trainingInstruct.stopped","next8.keys","next8.rt","next8.started","next8.stopped","Ready.started","Ready.stopped","delay_one_picked","delay_two_picked","blank0.started","blank0.stopped","FixationCross1.started","FixationCross1.stopped","Name3.started","Name3.stopped","Face_Relevance3.started","Face_Relevance3.stopped","responseTime.started","responseTime.stopped","resp.keys","resp.corr","resp.rt","resp.started","resp.stopped","Accuracy.started","Accuracy.stopped","questions.started","questions.stopped","p2.started","p2.stopped","FixationCross3.started","FixationCross3.stopped","port_Face_onset.started","port_Face_onset.stopped","Name4.started","Name4.stopped","Face_Relevance4.started","Face_Relevance4.stopped","responseTime2.started","responseTime2.stopped","Response.keys","Response.corr","Response.rt","Response.started","Response.stopped","p3.started","p3.stopped","Finish.started","Finish.stopped","gender","age","participant","date","expName","psychopyVersion","frameRate","X"
"Stranger.png","Stranger","","",NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92334479978308,"None",0.0122227012179792,0.538754601031542,11.9045337997377,"None",14.0538980998099,"None",14.0538980998099,"None",NA,"",NA,"","",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Friend.png","Friend","","",NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",33.9587660999969,"None",33.9587660999969,"None",NA,"",NA,"","",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Self.png","You","","",NA,NA,NA,NA,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",53.9524284997024,"None",53.9524284997024,"None",NA,"",NA,"","",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Stranger.png","You","Stranger","m",1.3,15,25,95,NA,NA,NA,NA,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",73.9154484998435,"None",80.9204819998704,"None","space",-0.114823899697512,2.00847420003265,"None",82.9221048997715,"None",1.589,2.149,85.9378538997844,"None",86.5702975997701,87.0749117997475,87.0582431000657,87.1582549000159,87.0582431000657,87.1582549000159,87.1582549000159,"None","m",1,0.54453710000962,87.1582549000159,"None",87.7369097000919,"None",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Friend.png","You","Friend","m",1.2,14,24,94,NA,NA,NA,NA,0,0,0,0,0,1,1,3,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"","",NA,NA,"",NA,"",1.771,1.964,88.1424270998687,"None",88.675591699779,89.176507699769,89.1598538998514,89.2598545998335,89.1598538998514,89.2598545998335,89.2598545998335,"None","m",1,0.53864990035072,89.2598545998335,"None",89.8269781996496,"None",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Stranger.png","Stranger","Stranger","c",3,13,23,93,NA,NA,NA,NA,0,0,0,0,0,2,2,11,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"","",NA,NA,"",NA,"",1.739,1.323,90.2272312999703,"None",90.7636091997847,91.2779981996864,91.2613138998859,91.3785993997008,91.2613138998859,91.3785993997008,91.3618584997021,"None","c",1,0.308721399866045,91.3618584997021,"None",91.6934253997169,"None",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Friend.png","Friend","Friend","c",2,12,22,92,NA,NA,NA,NA,0,0,0,0,0,3,3,4,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"","",NA,NA,"",NA,"",1.754,1.538,92.0953591996804,"None",92.6320736999623,93.145977600012,93.1293881996535,93.2459819000214,93.1293881996535,93.2459819000214,93.229309800081,"None","m",0,0.489355799742043,93.229309800081,"None",93.7468248000368,"None",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Friend.png","Friend","Friend","c",2,12,22,92,NA,NA,NA,NA,0,0,0,0,0,4,4,10,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"","",NA,NA,"",NA,"",1.419,1.62,94.1467228997499,"None",94.689360700082,95.197399799712,95.1640912997536,95.2641361998394,95.1640912997536,95.2641361998394,95.2641361998394,"None","c",1,0.502666099928319,95.2641361998394,"None",95.7875049998984,"None",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Stranger.png","Friend","Stranger","m",2.3,17,27,97,NA,NA,NA,NA,0,0,0,0,0,5,5,7,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"","",NA,NA,"",NA,"",1.537,1.918,96.1983663998544,"None",96.7344309999608,97.2490802998655,97.232437199913,97.349087999668,97.232437199913,97.349087999668,97.3323770998977,"None","m",1,0.578402299899608,97.3323770998977,"None",97.9351679999381,"None",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
"Self.png","Friend","Self ","m",2.1,16,26,96,NA,NA,NA,NA,0,0,0,0,0,6,6,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"","",NA,NA,"",NA,"",1.644,2.119,98.3498618998565,"None",98.8872066996992,99.4004728998989,99.383761999663,99.500523199793,99.383761999663,99.500523199793,99.4838217999786,"None","m",1,0.507035700138658,99.4838217999786,"None",100.016037399881,"None",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"",NA,"",NA,NA,"p1","2022_May_12_1320","training+cueing","2021.1.4",59.9965321600666,NA
