Subject_ID,Exp_id,Date,Age,Gender,Handedness,Ethnicity,Platform
18316,1b,2020-10-24,19,Female,Right,White,Other
18204,1b,2020-10-24,20,Female,Right,White,Other
18230,1b,2020-10-24,20,Female,Right,White,Other
18548,1b,2020-11-06,20,Female,Right,White,Other
18552,1b,2020-11-07,21,Female,Right,White,Other
18490,1b,2020-11-07,18,Female,Right,White,Other
18228,1b,2020-11-12,20,Female,Right,White,Other
18530,1b,2020-11-17,22,Female,Left,White,Other
18582,1b,2020-11-17,18,Female,Right,White,Other
18580,1b,2020-11-23,18,Female,Right,White,Other
18286,1b,2020-12-01,25,Female,Right,White,Other
18594,1b,2020-12-08,20,Female,Right,White,Other
18610,1b,2021-02-04,20,Female,Right,White,Other
18144,1b,2021-02-09,20,Female,Right,Other,Other
18124,1b,2020-11-21,22,Female,Right,Mixed race,Other
18474,1b,2020-11-29,25,Female,Right,White,Other
18678,1b,2020-12-11,21,Female,Right,White,Other
18732,1b,2021-01-17,23,Female,Right,White,Other
8839912,1b,2021-02-03,57,Female,Right,White,Other
699174698,1b,2021-02-03,59,Female,Right,White,Other
325084622,1b,2021-02-08,56,Female,Right,White,Other
493914138,1b,2020-11-14,24,Female,Right,White,Other
2147880,1b,2021-02-22,21,Male,Left,Mixed race,Prolific
518063672,1b,2021-02-22,25,Female,Right,Asian or Pacific Islander,Prolific
766810170,1b,2021-02-22,27,Female,Right,Other,Prolific
502716417,1b,2021-02-22,19,Female,Right,White,Prolific
718214387,1b,2021-02-22,31,Male,Right,White,Prolific
461792726,1b,2021-02-22,25,Male,Right,White,Prolific
389386971,1b,2021-02-22,41,Female,Right,White,Prolific
494449262,1b,2021-02-22,21,Male,Right,White,Prolific
721540655,1b,2021-02-22,49,Male,Right,White,Prolific
170704505,1b,2021-02-22,22,Female,Right,Hispanic or Latino,Prolific
26988398,1b,2021-02-22,21,Female,Left,Hispanic or Latino,Prolific
878727193,1b,2021-02-22,26,Male,Right,Asian or Pacific Islander,Prolific
287540465,1b,2021-02-22,25,Male,Right,White,Prolific
542293658,1b,2021-02-22,26,Male,Right,Hispanic or Latino,Prolific
131581150,1b,2021-02-22,21,Female,Right,Hispanic or Latino,Prolific
985509220,1b,2021-02-22,19,Male,Right,White,Prolific
873303424,1b,2021-02-22,20,Female,Right,White,Prolific
831439020,1b,2021-02-22,46,Female,Right,Black or African American,Prolific
424669550,1b,2021-02-22,23,Male,Right,Hispanic or Latino,Prolific
209768216,1b,2021-02-22,38 ,Female,Right,Black or African American,Prolific
661400884,1b,2021-02-22,19,Male,Right,White,Prolific
400974906,1b,2021-02-22,30,Female,Right,White,Prolific
697580168,1b,2021-02-22,55,Male,Right,White,Prolific
723746935,1b,2021-02-22,19,Male,Right,Hispanic or Latino,Prolific
796989033,1b,2021-02-22,21,Male,Right,White,Prolific
81573274,1b,2021-02-22,19,Male,Left,White,Prolific
232621914,1b,2021-02-22,28,Male,Right,White,Prolific
216462780,1b,2021-02-22,24,Female,Right,White,Prolific
33564621,1b,2021-02-22,25,Male,Left,White,Prolific
474122992,1b,2021-02-22,24,Male,Right,White,Prolific
489796020,1b,2021-02-23,25,Male,Right,White,Prolific
