Subject,Task,Block,Trial,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,extraIV1,RT_ms,ACC
18124,self-matching,1,1,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,sad,1323,0
18124,self-matching,1,2,Matching,triangle,friend,friend,Close,friend,friend,friend,Close,neutral,1137,0
18124,self-matching,1,3,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,sad,989,1
18124,self-matching,1,4,Matching,pentagon,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,604,0
18124,self-matching,1,5,Matching,pentagon,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,952,1
18124,self-matching,1,6,Matching,pentagon,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,703,1
18124,self-matching,1,7,Matching,pentagon,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,sad,1101,1
18124,self-matching,1,8,Matching,diamond,self,self,Self,self,self,self,Self,neutral,743,1
18124,self-matching,1,9,Nonmatching,pentagon,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,803,1
18124,self-matching,1,10,Nonmatching,pentagon,stranger,stranger,Stranger,self,self,self,Self,neutral,1500,
18124,self-matching,1,11,Matching,diamond,self,self,Self,self,self,self,Self,sad,773,1
18124,self-matching,1,12,Nonmatching,triangle,friend,friend,Close,self,self,self,Self,sad,656,1
18124,self-matching,1,13,Nonmatching,pentagon,stranger,stranger,Stranger,self,self,self,Self,neutral,628,0
18124,self-matching,1,14,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,1033,1
18124,self-matching,1,15,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,998,1
18124,self-matching,1,16,Nonmatching,triangle,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,1143,0
18124,self-matching,1,17,Matching,triangle,friend,friend,Close,friend,friend,friend,Close,sad,916,0
18124,self-matching,1,18,Matching,triangle,friend,friend,Close,friend,friend,friend,Close,sad,745,1
