"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","ACC"
"1","1","1","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1368","1"
"1","1","2","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","2","1079","0"
"1","1","3","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","441","1"
"1","1","4","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","980","1"
"1","1","5","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1121","1"
"1","1","6","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","877","0"
"1","1","7","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","952","1"
"1","1","8","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","1116","1"
"1","1","9","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","668","1"
"1","1","10","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","819","1"
"1","1","11","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1087","1"
"1","1","12","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","784","1"
"1","1","13","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","2","636","0"
"1","1","14","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","644","1"
"1","1","15","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","981","1"
"1","1","16","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","889","1"
"1","1","17","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","948","1"
"1","1","18","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1465","0"
"1","1","19","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1291","1"
"1","1","20","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","685","1"
"1","1","21","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1488","1"
"1","1","22","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","2","1184","0"
"1","1","23","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","739","0"
"1","1","24","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","846","1"
"1","1","25","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","546","1"
"1","1","26","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","821","1"
"1","1","27","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","506","1"
"1","1","28","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","768","1"
"1","1","29","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","789","1"
"1","1","30","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","744","1"
