"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","FaceRace"
"3001","Wozniak_2020_PLOS_Exp3","19","Female","Right","/","/","/","/","/","Asian"
"3002","Wozniak_2020_PLOS_Exp3","19","Female","Right","/","/","/","/","/","Asian"
"3003","Wozniak_2020_PLOS_Exp3","23","Female","Right","/","/","/","/","/","Asian"
"3004","Wozniak_2020_PLOS_Exp3","20","Female","Right","/","/","/","/","/","Asian"
"3005","Wozniak_2020_PLOS_Exp3","21","Female","Right","/","/","/","/","/","Asian"
"3006","Wozniak_2020_PLOS_Exp3","24","Female","Right","/","/","/","/","/","Causasian"
"3007","Wozniak_2020_PLOS_Exp3","31","Female","Right","/","/","/","/","/","Asian"
"3008","Wozniak_2020_PLOS_Exp3","19","Female","Left","/","/","/","/","/","Asian"
"3009","Wozniak_2020_PLOS_Exp3","21","Female","Right","/","/","/","/","/","Asian"
"3010","Wozniak_2020_PLOS_Exp3","20","Female","Right","/","/","/","/","/","Causasian"
"3011","Wozniak_2020_PLOS_Exp3","19","Female","Right","/","/","/","/","/","Causasian"
"3012","Wozniak_2020_PLOS_Exp3","23","Female","Right","/","/","/","/","/","Causasian"
"3101","Wozniak_2020_PLOS_Exp3","19","Male","Left","/","/","/","/","/","Asian"
"3102","Wozniak_2020_PLOS_Exp3","31","Male","Right","/","/","/","/","/","Causasian"
"3103","Wozniak_2020_PLOS_Exp3","30","Male","Right","/","/","/","/","/","Asian"
"3104","Wozniak_2020_PLOS_Exp3","29","Male","Right","/","/","/","/","/","Caucasian"
"3105","Wozniak_2020_PLOS_Exp3","27","Male","Right","/","/","/","/","/","Caucasian"
"3106","Wozniak_2020_PLOS_Exp3","28","Male","Right","/","/","/","/","/","Asian"
"3107","Wozniak_2020_PLOS_Exp3","38","Male","Right","/","/","/","/","/","Caucasian"
"3108","Wozniak_2020_PLOS_Exp3","19","Male","Right","/","/","/","/","/","Caucasian"
"3109","Wozniak_2020_PLOS_Exp3","27","Male","Right","/","/","/","/","/","Asian"
"3110","Wozniak_2020_PLOS_Exp3","20","Male","Right","/","/","/","/","/","Caucasian"
"3111","Wozniak_2020_PLOS_Exp3","26","Male","Right","/","/","/","/","/","Caucasian"
"3112","Wozniak_2020_PLOS_Exp3","39","Male","Right","/","/","/","/","/","Caucasian"
