"Subject","Trial","Block","Shape","Label","Matching","ACC","RT_ms","Resp","Cresp","bed","Condition"
1,1,1,"Dreieck.png","Fremder","Matching",0,1070,"k","d","L1m","Ass2"
1,2,1,"Kreis.png","Fremder","Nonmatching",1,980,"k","k","L1n","Ass2"
1,3,1,"Kreis.png","Ich","Matching",1,836,"d","d","L2m","Ass2"
1,4,1,"Dreieck.png","Ich","Nonmatching",1,765,"k","k","L2n","Ass2"
1,5,2,"Dreieck.png","Ich","Nonmatching",1,1180,"k","k","L2n","Ass2"
1,6,2,"Kreis.png","Ich","Matching",1,897,"d","d","L2m","Ass2"
1,7,2,"Kreis.png","Fremder","Nonmatching",1,762,"k","k","L1n","Ass2"
1,8,2,"Dreieck.png","Fremder","Matching",0,713,"k","d","L1m","Ass2"
1,9,3,"Kreis.png","Ich","Matching",1,624,"d","d","L2m","Ass2"
1,10,3,"Dreieck.png","Fremder","Matching",1,1039,"d","d","L1m","Ass2"
1,11,3,"Kreis.png","Fremder","Nonmatching",1,1322,"k","k","L1n","Ass2"
1,12,3,"Dreieck.png","Ich","Nonmatching",1,1033,"k","k","L2n","Ass2"
1,13,4,"Kreis.png","Ich","Matching",1,708,"d","d","L2m","Ass2"
1,14,4,"Kreis.png","Fremder","Nonmatching",0,934,"d","k","L1n","Ass2"
1,15,4,"Dreieck.png","Ich","Nonmatching",1,949,"k","k","L2n","Ass2"
1,16,4,"Dreieck.png","Fremder","Matching",0,723,"k","d","L1m","Ass2"
1,17,5,"Dreieck.png","Ich","Nonmatching",1,2695,"k","k","L2n","Ass2"
1,18,5,"Kreis.png","Fremder","Nonmatching",1,963,"k","k","L1n","Ass2"
1,19,5,"Kreis.png","Ich","Matching",1,890,"d","d","L2m","Ass2"
1,20,5,"Dreieck.png","Fremder","Matching",1,943,"d","d","L1m","Ass2"
1,21,6,"Kreis.png","Fremder","Nonmatching",1,931,"k","k","L1n","Ass2"
1,22,6,"Kreis.png","Ich","Matching",1,618,"d","d","L2m","Ass2"
1,23,6,"Dreieck.png","Ich","Nonmatching",1,849,"k","k","L2n","Ass2"
1,24,6,"Dreieck.png","Fremder","Matching",0,777,"k","d","L1m","Ass2"
1,25,7,"Dreieck.png","Ich","Nonmatching",1,786,"k","k","L2n","Ass2"
