"Subject","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC"
"43329048","2","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","910","0.91","1"
"43329048","3","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","566","0.566","1"
"43329048","4","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","651","0.651","1"
"43329048","5","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","732","0.732","1"
"43329048","6","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","970","0.97","1"
"43329048","7","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","896","0.896","1"
"43329048","8","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","1125","1.125","1"
"43329048","9","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","799","0.799","1"
"43329048","10","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","773","0.773","0"
"43329048","11","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","789","0.789","0"
"43329048","12","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","816","0.816","1"
"43329048","13","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","639","0.639","1"
"43329048","14","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","555","0.555","1"
"43329048","15","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","655","0.655","0"
"43329048","16","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","988","0.988","1"
"43329048","18","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","860","0.86","1"
"43329048","19","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","640","0.64","1"
"43329048","20","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","851","0.851","1"
"43329048","21","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","887","0.887","1"
"43329048","22","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","842","0.842","0"
"43329048","23","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","1021","1.021","1"
"43329048","25","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","820","0.82","1"
"43329048","26","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","969","0.969","0"
"43329048","27","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","554","0.554","1"
"43329048","28","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","747","0.747","1"
"43329048","30","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","971","0.971","1"
"43329048","31","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","710","0.71","0"
"43329048","32","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","686","0.686","1"
"43329048","33","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","639","0.639","1"
"43329048","34","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","1182","1.182","1"
"43329048","36","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","534","0.534","1"
"43329048","37","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","603","0.603","1"
"43329048","38","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","605","0.605","0"
"43329048","39","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","997","0.997","1"
"43329048","40","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","534","0.534","1"
"43329048","41","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","967","0.967","1"
"43329048","42","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","668","0.668","1"
"43329048","43","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","648","0.648","1"
"43329048","44","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","616","0.616","1"
"43329048","45","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","738","0.738","1"
"43329048","46","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","844","0.844","1"
"43329048","47","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","405","0.405","1"
"43329048","48","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","827","0.827","0"
"43329048","49","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","1122","1.122","1"
"43329048","50","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","939","0.939","1"
"43329048","51","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","697","0.697","1"
"43329048","52","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","1199","1.199","0"
"43329048","53","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","533","0.533","1"
"43329048","54","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","881","0.881","1"
"43329048","55","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","871","0.871","1"
"43329048","56","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","820","0.82","1"
"43329048","57","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","631","0.631","1"
"43329048","58","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","746","0.746","1"
"43329048","59","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","791","0.791","1"
"43329048","60","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","838","0.838","0"
"43329048","1","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","485","0.485","1"
"43329048","2","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","401","0.401","1"
"43329048","3","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","478","0.478","1"
"43329048","4","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","835","0.835","1"
"43329048","5","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","615","0.615","1"
"43329048","6","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","541","0.541","1"
"43329048","7","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","657","0.657","1"
"43329048","8","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","562","0.562","1"
"43329048","9","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","477","0.477","1"
"43329048","10","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","435","0.435","1"
"43329048","11","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","522","0.522","1"
"43329048","12","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","564","0.564","1"
"43329048","13","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","506","0.506","1"
"43329048","14","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","832","0.832","1"
"43329048","15","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","613","0.613","1"
"43329048","16","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","519","0.519","1"
"43329048","17","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","559","0.559","1"
"43329048","18","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","487","0.487","1"
"43329048","19","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","492","0.492","1"
"43329048","20","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","621","0.621","1"
"43329048","21","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","591","0.591","1"
"43329048","22","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","530","0.53","1"
"43329048","23","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","546","0.546","1"
"43329048","24","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","547","0.547","1"
"43329048","25","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","511","0.511","1"
"43329048","26","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","474","0.474","1"
"43329048","27","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","560","0.56","1"
"43329048","28","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","1022","1.022","1"
"43329048","29","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","517","0.517","1"
"43329048","30","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","450","0.45","1"
"43329048","31","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","441","0.441","1"
"43329048","32","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","614","0.614","1"
"43329048","33","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","509","0.509","1"
"43329048","34","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","648","0.648","1"
"43329048","35","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","630","0.63","1"
"43329048","36","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","632","0.632","1"
"43329048","37","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","795","0.795","1"
"43329048","38","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","672","0.672","1"
"43329048","39","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","510","0.51","1"
"43329048","40","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","509","0.509","1"
"43329048","41","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","875","0.875","1"
"43329048","42","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","580","0.58","1"
"43329048","43","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","582","0.582","1"
"43329048","44","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","397","0.397","1"
"43329048","45","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","379","0.379","1"
"43329048","46","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","348","0.348","1"
"43329048","47","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","256","0.256","1"
"43329048","49","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","536","0.536","1"
"43329048","50","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","414","0.414","1"
"43329048","51","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","359","0.359","1"
"43329048","52","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","505","0.505","1"
"43329048","53","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","541","0.541","1"
"43329048","54","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","499","0.499","1"
"43329048","55","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","624","0.624","1"
"43329048","56","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","516","0.516","1"
"43329048","57","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","414","0.414","1"
"43329048","58","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","381","0.381","1"
"43329048","59","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","352","0.352","1"
"43329048","60","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","359","0.359","1"
"43329048","1","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","434","0.434","1"
"43329048","2","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","860","0.86","1"
"43329048","3","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","445","0.445","1"
"43329048","4","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","723","0.723","1"
"43329048","5","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","619","0.619","1"
"43329048","6","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","712","0.712","1"
"43329048","7","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","832","0.832","1"
"43329048","8","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","463","0.463","0"
"43329048","9","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","831","0.831","1"
"43329048","10","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","711","0.711","1"
"43329048","11","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","749","0.749","1"
"43329048","12","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","445","0.445","1"
"43329048","13","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","938","0.938","1"
"43329048","14","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","381","0.381","0"
"43329048","15","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","833","0.833","1"
"43329048","16","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","833","0.833","1"
"43329048","17","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","500","0.5","1"
"43329048","18","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","484","0.484","1"
"43329048","19","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","595","0.595","0"
"43329048","20","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","795","0.795","1"
"43329048","21","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","899","0.899","1"
"43329048","22","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","556","0.556","1"
"43329048","23","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","1015","1.015","1"
"43329048","24","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","465","0.465","1"
"43329048","25","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","656","0.656","1"
"43329048","26","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","680","0.68","1"
"43329048","27","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","1192","1.192","0"
"43329048","28","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","460","0.46","1"
"43329048","29","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","760","0.76","0"
"43329048","30","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","500","0.5","0"
"43329048","31","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","776","0.776","1"
"43329048","32","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","643","0.643","1"
"43329048","33","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","550","0.55","1"
"43329048","34","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","402","0.402","1"
"43329048","35","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","372","0.372","1"
