"Subject","Block","Trial","Matching","Speaker","Accent","Voice","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
7434577,1,2,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",675.5,0.6755,1
7434577,1,3,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",425.90000000596,0.42590000000596,1
7434577,1,4,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",567.200000017881,0.567200000017881,0
7434577,1,5,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",518,0.518,1
7434577,1,6,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",501,0.501,1
7434577,1,7,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",557.200000017881,0.557200000017881,1
7434577,1,8,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",410.299999982119,0.410299999982119,1
7434577,1,9,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",527.09999999404,0.52709999999404,1
7434577,1,10,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",395.5,0.3955,1
7434577,1,11,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",378,0.378,1
7434577,1,12,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",408.5,0.4085,1
7434577,1,13,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",423.100000023842,0.423100000023842,1
7434577,1,14,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",365.90000000596,0.36590000000596,1
7434577,1,15,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",390.40000000596,0.39040000000596,1
7434577,1,16,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",411.09999999404,0.41109999999404,1
7434577,1,17,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",535.5,0.5355,1
7434577,1,18,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",468.300000011921,0.468300000011921,0
7434577,1,19,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",539.799999982119,0.539799999982119,1
7434577,1,20,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",384,0.384,1
7434577,1,21,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",405,0.405,1
7434577,1,22,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",339.09999999404,0.33909999999404,0
7434577,1,23,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",585.699999988079,0.585699999988079,1
7434577,1,24,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",446,0.446,1
7434577,1,25,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",378.09999999404,0.37809999999404,1
7434577,1,26,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",367,0.367,1
7434577,1,27,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",325.299999982119,0.325299999982119,0
7434577,1,28,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",425.90000000596,0.42590000000596,1
7434577,1,29,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",394.300000011921,0.394300000011921,1
7434577,1,30,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",354.299999982119,0.354299999982119,1
7434577,1,31,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",466,0.466,1
7434577,1,32,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",345.299999982119,0.345299999982119,1
7434577,1,33,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",440.59999999404,0.44059999999404,1
7434577,1,34,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",523.90000000596,0.52390000000596,1
7434577,1,35,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",407.59999999404,0.40759999999404,1
7434577,1,36,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",516.09999999404,0.51609999999404,1
7434577,1,37,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",523.299999982119,0.523299999982119,1
7434577,1,38,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",591.899999976158,0.591899999976158,1
7434577,1,39,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",489.299999982119,0.489299999982119,1
7434577,1,40,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",655.299999982119,0.655299999982119,1
7434577,1,41,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",687.90000000596,0.68790000000596,1
7434577,1,42,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",351.5,0.3515,1
7434577,1,43,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",394.90000000596,0.39490000000596,1
7434577,1,44,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",352.199999988079,0.352199999988079,1
7434577,1,45,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",421.299999982119,0.421299999982119,0
7434577,1,46,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",562.300000011921,0.562300000011921,1
7434577,1,47,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",389.699999988079,0.389699999988079,1
7434577,1,48,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",368.90000000596,0.36890000000596,1
7434577,1,49,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",367.799999982119,0.367799999982119,1
7434577,1,50,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",348,0.348,1
7434577,1,51,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",418.40000000596,0.41840000000596,1
7434577,1,52,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",748.40000000596,0.74840000000596,0
7434577,1,53,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",631.09999999404,0.63109999999404,1
7434577,1,54,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",599.299999982119,0.599299999982119,1
7434577,1,55,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",509.300000011921,0.509300000011921,1
7434577,1,56,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",536.199999988079,0.536199999988079,1
7434577,1,57,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",414.59999999404,0.41459999999404,1
7434577,1,58,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",422.100000023842,0.422100000023842,1
7434577,1,59,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",413.699999988079,0.413699999988079,1
