Experiment ID,Participant Public ID,Participant Private ID,Trial Number,Zone Type,rt,Correct,ANSWER,speaker,soundfile,voiceidentity,version,description,accent,accent_match,blocktype,blocknumber,labelword,trialtype,rt_exclude
105067,BLIND,7434611,1,response_keyboard_single,693.09999999404,1,MISMATCH,S1,S1_1.wav,self,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,other,MISMATCH,0
105067,BLIND,7434611,2,response_keyboard_single,955.90000000596,1,MATCH,S2,S2_1.wav,friend,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,friend,MATCH,0
105067,BLIND,7434611,3,response_keyboard_single,676.5,0,MATCH,S3,S3_2.wav,other,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,other,MATCH,0
105067,BLIND,7434611,4,response_keyboard_single,403.59999999404,0,MISMATCH,S2,S2_1.wav,friend,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,self,MISMATCH,0
105067,BLIND,7434611,5,response_keyboard_single,747.699999988079,0,MATCH,S1,S1_1.wav,self,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,self,MATCH,0
105067,BLIND,7434611,6,response_keyboard_single,400.299999982119,1,MATCH,S3,S3_2.wav,other,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,other,MATCH,0
105067,BLIND,7434611,7,response_keyboard_single,525,1,MATCH,S1,S1_2.wav,self,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,self,MATCH,0
105067,BLIND,7434611,8,response_keyboard_single,865.90000000596,1,MATCH,S2,S2_2.wav,friend,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,friend,MATCH,0
105067,BLIND,7434611,9,response_keyboard_single,713.700000017881,1,MISMATCH,S1,S1_2.wav,self,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,friend,MISMATCH,0
105067,BLIND,7434611,10,response_keyboard_single,682.199999988079,1,MISMATCH,S2,S2_1.wav,friend,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,self,MISMATCH,0
105067,BLIND,7434611,11,response_keyboard_single,919.800000011921,1,MATCH,S2,S2_2.wav,friend,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,friend,MATCH,0
105067,BLIND,7434611,12,response_keyboard_single,679.59999999404,1,MISMATCH,S2,S2_1.wav,friend,F2O3S1,FriendSpeaker2_OtherSpeaker3_SelfSpeaker1,Scottish,matched_accent,mainexperiment,1,other,MISMATCH,0
