"Subject","Group","Condition","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
18080,2,"line",1,1,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",925,0.925,1
18080,2,"line",1,2,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",785,0.785,1
18080,2,"happy",1,3,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","47",467,0.467,0
18080,2,"sad",1,4,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",776,0.776,1
18080,2,"neutral",1,5,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",826,0.826,1
18080,2,"sad",1,6,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",624,0.624,1
18080,2,"sad",1,7,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",613,0.613,1
18080,2,"line",1,8,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",686,0.686,1
18080,2,"sad",1,9,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",915,0.915,1
18080,2,"happy",1,10,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",722,0.722,1
18080,2,"sad",1,11,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",596,0.596,0
18080,2,"line",1,12,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",991,0.991,1
18080,2,"neutral",1,13,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1025,1.025,1
18080,2,"happy",1,14,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1121,1.121,1
18080,2,"line",1,15,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",940,0.94,1
18080,2,"neutral",1,16,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",739,0.739,1
18080,2,"happy",1,17,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",579,0.579,1
18080,2,"happy",1,18,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",747,0.747,1
18080,2,"neutral",1,19,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",767,0.767,1
18080,2,"happy",1,20,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",690,0.69,1
18080,2,"line",1,21,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",566,0.566,1
18080,2,"happy",1,22,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",728,0.728,1
18080,2,"happy",1,23,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","0",1500,1.5,0
18080,2,"line",1,24,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",660,0.66,1
18080,2,"sad",1,25,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",606,0.606,1
18080,2,"happy",1,26,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",829,0.829,0
18080,2,"happy",1,27,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",666,0.666,1
18080,2,"neutral",1,28,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",1119,1.119,1
18080,2,"line",1,29,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",587,0.587,1
18080,2,"happy",1,30,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",639,0.639,1
18080,2,"sad",1,31,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",535,0.535,1
18080,2,"sad",1,32,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",995,0.995,1
