Subject_ID,Exp_id,Group,Age,Gender,Handedness,Ethnicity,Country,First_Language
1,Exp3,true self task,25,Female,/,/,/,/
2,Exp3,general self task,22,Female,/,/,/,/
3,Exp3,general self task,18,Male,/,/,/,/
4,Exp3,true self task,25,Male,/,/,/,/
5,Exp3,true self task,20,Female,/,/,/,/
6,Exp3,true self task,19,Male,/,/,/,/
7,Exp3,general self task,26,Female,/,/,/,/
8,Exp3,general self task,20,Male,/,/,/,/
9,Exp3,true self task,24,Male,/,/,/,/
10,Exp3,general self task,24,Male,/,/,/,/
11,Exp3,true self task,21,Male,/,/,/,/
12,Exp3,true self task,22,Male,/,/,/,/
13,Exp3,general self task,25,Male,/,/,/,/
14,Exp3,general self task,20,Male,/,/,/,/
15,Exp3,general self task,19,Female,/,/,/,/
16,Exp3,true self task,22,Male,/,/,/,/
17,Exp3,general self task,22,Female,/,/,/,/
18,Exp3,general self task,19,Female,/,/,/,/
19,Exp3,true self task,19,Female,/,/,/,/
20,Exp3,general self task,23,Male,/,/,/,/
21,Exp3,true self task,19,Male,/,/,/,/
22,Exp3,true self task,28,Female,/,/,/,/
23,Exp3,general self task,23,Female,/,/,/,/
24,Exp3,true self task,19,Male,/,/,/,/
25,Exp3,true self task,26,Male,/,/,/,/
26,Exp3,general self task,23,Female,/,/,/,/
27,Exp3,true self task,23,Female,/,/,/,/
28,Exp3,general self task,24,Female,/,/,/,/
29,Exp3,true self task,22,Female,/,/,/,/
30,Exp3,general self task,20,Male,/,/,/,/
31,Exp3,general self task,24,Male,/,/,/,/
32,Exp3,true self task,22,Male,/,/,/,/
33,Exp3,general self task,24,Female,/,/,/,/
34,Exp3,true self task,25,Male,/,/,/,/
35,Exp3,true self task,24,Male,/,/,/,/
36,Exp3,general self task,24,Male,/,/,/,/
37,Exp3,general self task,28,Male,/,/,/,/
38,Exp3,general self task,23,Male,/,/,/,/
39,Exp3,true self task,23,Female,/,/,/,/
40,Exp3,true self task,32,Female,/,/,/,/
41,Exp3,true self task,26,Female,/,/,/,/
42,Exp3,general self task,24,Female,/,/,/,/
43,Exp3,general self task,23,Male,/,/,/,/
44,Exp3,true self task,23,Male,/,/,/,/
