match,shape_identity,corr,rt,subj_idx,response,task
0,1,1,0.606228000018746,1,0,1
0,2,1,0.560042300261557,1,0,1
0,1,0,0.540966900065541,1,1,1
0,2,1,0.685514299897477,1,0,1
0,3,1,0.554060900118202,1,0,1
0,3,1,0.62224610010162,1,0,1
0,3,1,1.00667600031011,1,0,1
0,2,1,0.848422100069001,1,0,1
0,3,1,0.585927899926901,1,0,1
0,1,1,0.55739920004271,1,0,1
0,3,1,0.576634100172669,1,0,1
0,3,1,0.56593480007723,1,0,1
0,3,1,0.679603900294751,1,0,1
0,3,1,0.725365499965847,1,0,1
0,3,1,0.516777800163254,1,0,1
0,1,1,0.604450300103053,1,0,1
0,2,1,0.95939110009931,1,0,1
0,2,1,0.559966400032863,1,0,1
0,3,1,0.437033300055191,1,0,1
0,3,1,0.698579600080848,1,0,1
0,1,0,0.728851200081408,1,1,1
0,1,1,0.730099800275639,1,0,1
0,1,0,0.611917600035667,1,1,1
0,2,1,0.767462500138208,1,0,1
0,2,1,0.486145700095221,1,0,1
0,2,1,0.634791400050744,1,0,1
0,3,1,0.590434200130403,1,0,1
0,3,1,0.786038800142705,1,0,1
0,1,1,0.465326500125229,1,0,1
0,2,1,0.565686000045389,1,0,1
0,2,1,0.872878300026059,1,0,1
0,2,1,0.713473600102589,1,0,1
0,1,1,0.515385700156912,1,0,1
0,2,1,0.856858900049701,1,0,1
0,2,0,0.850782599998638,1,1,1
0,1,1,0.774658299982548,1,0,1
0,3,1,0.520217100158334,1,0,1
0,3,0,0.812186000170186,1,1,1
0,3,1,0.622676600236446,1,0,1
0,1,1,0.7835910001304,1,0,1
0,1,0,0.704816500190645,1,1,1
0,1,1,0.686829800251871,1,0,1
0,2,0,0.532308000139892,1,1,1
0,1,1,0.897040799958631,1,0,1
0,2,1,0.590624100062996,1,0,1
0,3,1,0.948560399934649,1,0,1
0,3,1,0.636449700221419,1,0,1
0,2,1,0.690414500189945,1,0,1
0,3,1,0.966611600248143,1,0,1
0,1,0,0.60449740011245,1,1,1
0,1,1,0.513109100284055,1,0,1
0,2,1,0.646319000050426,1,0,1
0,1,1,0.764436800265685,1,0,1
0,1,1,0.683696200139821,1,0,1
0,1,1,0.53749670018442,1,0,1
0,1,1,0.542541600065306,1,0,1
0,1,1,0.522249300265685,1,0,1
0,1,1,0.418097499990836,1,0,1
0,3,1,0.665687100263312,1,0,1
0,1,1,0.582804500125349,1,0,1
0,2,0,0.839900200022385,1,1,1
0,3,1,0.67074179998599,1,0,1
0,1,1,0.464625800028443,1,0,1
0,2,1,0.376940299989656,1,0,1
0,3,0,0.71841310011223,1,1,1
0,1,1,0.620327900163829,1,0,1
0,3,0,0.619791500037536,1,1,1
0,1,1,0.692960400134325,1,0,1
0,3,1,0.636146700009704,1,0,1
0,1,1,0.484539200086147,1,0,1
0,3,1,0.487346900161356,1,0,1
0,1,1,0.700280000222847,1,0,1
0,2,1,0.685657300055027,1,0,1
0,3,1,0.626241800142452,1,0,1
0,3,1,0.821325100027025,1,0,1
0,3,1,0.682244000025094,1,0,1
0,2,1,0.857677500229329,1,0,1
0,1,1,0.677713799988851,1,0,1
0,1,1,0.516871700063348,1,0,1
0,2,0,0.555090500041842,1,1,1
0,1,1,0.751324299955741,1,0,1
0,2,1,0.661081600235775,1,0,1
0,2,0,0.984652600018308,1,1,1
0,1,1,0.728028300218284,1,0,1
0,1,1,0.729464499978349,1,0,1
0,3,1,0.616593800019473,1,0,1
0,2,1,0.698975500185043,1,0,1
0,3,1,0.700165300164372,1,0,1
0,3,1,0.816025800071657,1,0,1
0,1,1,0.477415300207213,1,0,1
0,1,1,0.513073500012979,1,0,1
0,1,1,0.615733600221574,1,0,1
0,3,1,0.526693100109696,1,0,1
0,3,1,0.60552110010758,1,0,1
0,2,1,0.507588200038299,1,0,1
0,1,1,0.770083100069314,1,0,1
0,3,1,0.441817700164393,1,0,1
0,2,1,0.484306200174615,1,0,1
0,2,1,0.538321500178427,1,0,1
0,2,1,0.545703600160778,1,0,1
0,1,1,0.601177799981087,1,0,1
0,1,1,0.391560700256377,1,0,1
0,2,1,0.660604000091553,1,0,1
0,1,1,0.610328100156039,1,0,1
0,2,1,0.658638099906966,1,0,1
0,1,1,0.538501000031829,1,0,1
0,3,1,0.624405700014904,1,0,1
0,2,1,0.560833500232548,1,0,1
0,3,1,0.656415899982676,1,0,1
0,1,1,0.522101900074631,1,0,1
0,2,1,0.576816600048915,1,0,1
0,3,1,0.526989700039849,1,0,1
0,3,1,0.597794800065458,1,0,1
0,1,1,0.688014500075951,1,0,1
0,2,1,0.767389700282365,1,0,1
0,2,1,0.685092900181189,1,0,1
0,1,1,0.633951300289482,1,0,1
0,1,1,0.508128500077873,1,0,1
0,2,0,0.643736900063232,1,1,1
0,2,1,0.608926000073552,1,0,1
0,2,1,0.539531100075692,1,0,1
0,3,1,0.797302999999374,1,0,1
0,1,1,0.48925430001691,1,0,1
0,3,1,0.630575200077146,1,0,1
0,3,1,0.738732300233096,1,0,1
0,2,1,0.752561900066212,1,0,1
0,2,0,0.740414700005203,1,1,1
0,1,1,0.632756700273603,1,0,1
0,2,1,0.559398400131613,1,0,1
0,3,1,0.618865000084043,1,0,1
0,3,1,0.747254000045359,1,0,1
0,2,1,0.981509800069034,1,0,1
0,2,1,0.678982899989933,1,0,1
0,3,1,0.635351200122386,1,0,1
0,2,1,0.906878500012681,1,0,1
0,2,1,0.754834200022742,1,0,1
0,3,1,0.843362800078467,1,0,1
0,3,1,0.725254900055006,1,0,1
0,3,1,0.649399199988693,1,0,1
0,2,1,0.973782800137997,1,0,1
0,1,1,1.00284250010736,1,0,1
0,1,1,0.571768600028008,1,0,1
0,3,0,0.629812400322407,1,1,1
0,1,1,0.560807500034571,1,0,1
0,1,1,0.530631500063464,1,0,1
0,2,0,0.487435800256208,1,1,1
0,2,0,0.788340200204402,1,1,1
0,3,1,0.984254500130191,1,0,1
