"Subject","Trial","Block","Shape","Label","Matching","ACC","RT_ms","Resp","Cresp","bed","Condition"
29,1,1,"Dreieck.png","Fremder","Matching",1,1177,"d","d","L1m","Ass2"
29,2,1,"Dreieck.png","Ich","Nonmatching",1,851,"k","k","L2n","Ass2"
29,3,1,"Kreis.png","Fremder","Nonmatching",1,1007,"k","k","L1n","Ass2"
29,4,1,"Kreis.png","Ich","Matching",1,576,"d","d","L2m","Ass2"
29,5,2,"Dreieck.png","Fremder","Matching",1,648,"d","d","L1m","Ass2"
29,6,2,"Kreis.png","Fremder","Nonmatching",1,762,"k","k","L1n","Ass2"
29,7,2,"Kreis.png","Ich","Matching",1,616,"d","d","L2m","Ass2"
29,8,2,"Dreieck.png","Ich","Nonmatching",1,967,"k","k","L2n","Ass2"
29,9,3,"Dreieck.png","Fremder","Matching",1,651,"d","d","L1m","Ass2"
29,10,3,"Dreieck.png","Ich","Nonmatching",0,654,"d","k","L2n","Ass2"
29,11,3,"Kreis.png","Fremder","Nonmatching",1,810,"k","k","L1n","Ass2"
29,12,3,"Kreis.png","Ich","Matching",1,515,"d","d","L2m","Ass2"
29,13,4,"Dreieck.png","Ich","Nonmatching",1,942,"k","k","L2n","Ass2"
29,14,4,"Kreis.png","Fremder","Nonmatching",1,723,"k","k","L1n","Ass2"
29,15,4,"Kreis.png","Ich","Matching",1,513,"d","d","L2m","Ass2"
29,16,4,"Dreieck.png","Fremder","Matching",1,431,"d","d","L1m","Ass2"
29,17,5,"Kreis.png","Ich","Matching",1,556,"d","d","L2m","Ass2"
29,18,5,"Kreis.png","Fremder","Nonmatching",1,601,"k","k","L1n","Ass2"
29,19,5,"Dreieck.png","Fremder","Matching",1,861,"d","d","L1m","Ass2"
29,20,5,"Dreieck.png","Ich","Nonmatching",1,612,"k","k","L2n","Ass2"
29,21,6,"Dreieck.png","Fremder","Matching",1,648,"d","d","L1m","Ass2"
29,22,6,"Dreieck.png","Ich","Nonmatching",1,610,"k","k","L2n","Ass2"
29,23,6,"Kreis.png","Fremder","Nonmatching",1,819,"k","k","L1n","Ass2"
29,24,6,"Kreis.png","Ich","Matching",1,512,"d","d","L2m","Ass2"
29,25,7,"Dreieck.png","Ich","Nonmatching",1,871,"k","k","L2n","Ass2"
29,26,7,"Dreieck.png","Fremder","Matching",1,655,"d","d","L1m","Ass2"
29,27,7,"Kreis.png","Fremder","Nonmatching",1,590,"k","k","L1n","Ass2"
29,28,7,"Kreis.png","Ich","Matching",1,510,"d","d","L2m","Ass2"
29,29,8,"Kreis.png","Ich","Matching",1,681,"d","d","L2m","Ass2"
29,30,8,"Dreieck.png","Fremder","Matching",1,594,"d","d","L1m","Ass2"
29,31,8,"Kreis.png","Fremder","Nonmatching",1,948,"k","k","L1n","Ass2"
29,32,8,"Dreieck.png","Ich","Nonmatching",0,837,"d","k","L2n","Ass2"
29,33,9,"Dreieck.png","Fremder","Matching",1,573,"d","d","L1m","Ass2"
29,34,9,"Dreieck.png","Ich","Nonmatching",1,594,"k","k","L2n","Ass2"
29,35,9,"Kreis.png","Fremder","Nonmatching",1,810,"k","k","L1n","Ass2"
29,36,9,"Kreis.png","Ich","Matching",1,569,"d","d","L2m","Ass2"
29,37,10,"Kreis.png","Fremder","Nonmatching",1,591,"k","k","L1n","Ass2"
29,38,10,"Dreieck.png","Ich","Nonmatching",1,736,"k","k","L2n","Ass2"
29,39,10,"Dreieck.png","Fremder","Matching",1,538,"d","d","L1m","Ass2"
29,40,10,"Kreis.png","Ich","Matching",1,388,"d","d","L2m","Ass2"
29,41,11,"Kreis.png","Ich","Matching",1,521,"d","d","L2m","Ass2"
29,42,11,"Kreis.png","Fremder","Nonmatching",1,508,"k","k","L1n","Ass2"
29,43,11,"Dreieck.png","Fremder","Matching",1,704,"d","d","L1m","Ass2"
29,44,11,"Dreieck.png","Ich","Nonmatching",1,632,"k","k","L2n","Ass2"
29,45,12,"Kreis.png","Fremder","Nonmatching",1,693,"k","k","L1n","Ass2"
29,46,12,"Kreis.png","Ich","Matching",1,520,"d","d","L2m","Ass2"
29,47,12,"Dreieck.png","Fremder","Matching",1,521,"d","d","L1m","Ass2"
29,48,12,"Dreieck.png","Ich","Nonmatching",1,574,"k","k","L2n","Ass2"
29,49,13,"Dreieck.png","Fremder","Matching",1,610,"d","d","L1m","Ass2"
29,50,13,"Kreis.png","Ich","Matching",1,505,"d","d","L2m","Ass2"
29,51,13,"Kreis.png","Fremder","Nonmatching",1,547,"k","k","L1n","Ass2"
29,52,13,"Dreieck.png","Ich","Nonmatching",1,912,"k","k","L2n","Ass2"
29,53,14,"Dreieck.png","Ich","Nonmatching",1,693,"k","k","L2n","Ass2"
29,54,14,"Dreieck.png","Fremder","Matching",1,533,"d","d","L1m","Ass2"
29,55,14,"Kreis.png","Fremder","Nonmatching",0,391,"d","k","L1n","Ass2"
29,56,14,"Kreis.png","Ich","Matching",1,428,"d","d","L2m","Ass2"
29,57,15,"Kreis.png","Fremder","Nonmatching",1,716,"k","k","L1n","Ass2"
29,58,15,"Kreis.png","Ich","Matching",1,553,"d","d","L2m","Ass2"
29,59,15,"Dreieck.png","Ich","Nonmatching",1,664,"k","k","L2n","Ass2"
29,60,15,"Dreieck.png","Fremder","Matching",1,796,"d","d","L1m","Ass2"
29,61,16,"Dreieck.png","Fremder","Matching",1,741,"d","d","L1m","Ass2"
29,62,16,"Kreis.png","Ich","Matching",1,408,"d","d","L2m","Ass2"
29,63,16,"Dreieck.png","Ich","Nonmatching",1,624,"k","k","L2n","Ass2"
29,64,16,"Kreis.png","Fremder","Nonmatching",1,606,"k","k","L1n","Ass2"
29,65,17,"Kreis.png","Fremder","Nonmatching",1,560,"k","k","L1n","Ass2"
29,66,17,"Dreieck.png","Ich","Nonmatching",1,926,"k","k","L2n","Ass2"
29,67,17,"Kreis.png","Ich","Matching",1,434,"d","d","L2m","Ass2"
29,68,17,"Dreieck.png","Fremder","Matching",1,573,"d","d","L1m","Ass2"
29,69,18,"Kreis.png","Fremder","Nonmatching",1,588,"k","k","L1n","Ass2"
29,70,18,"Dreieck.png","Ich","Nonmatching",1,828,"k","k","L2n","Ass2"
29,71,18,"Dreieck.png","Fremder","Matching",1,860,"d","d","L1m","Ass2"
29,72,18,"Kreis.png","Ich","Matching",1,809,"d","d","L2m","Ass2"
29,73,19,"Dreieck.png","Fremder","Matching",1,907,"d","d","L1m","Ass2"
29,74,19,"Kreis.png","Fremder","Nonmatching",0,566,"d","k","L1n","Ass2"
29,75,19,"Kreis.png","Ich","Matching",1,439,"d","d","L2m","Ass2"
29,76,19,"Dreieck.png","Ich","Nonmatching",1,613,"k","k","L2n","Ass2"
29,77,20,"Dreieck.png","Ich","Nonmatching",1,512,"k","k","L2n","Ass2"
29,78,20,"Dreieck.png","Fremder","Matching",0,508,"k","d","L1m","Ass2"
29,79,20,"Kreis.png","Ich","Matching",1,556,"d","d","L2m","Ass2"
29,80,20,"Kreis.png","Fremder","Nonmatching",1,654,"k","k","L1n","Ass2"
29,81,21,"Dreieck.png","Ich","Nonmatching",1,706,"k","k","L2n","Ass2"
29,82,21,"Kreis.png","Fremder","Nonmatching",1,712,"k","k","L1n","Ass2"
29,83,21,"Dreieck.png","Fremder","Matching",1,665,"d","d","L1m","Ass2"
29,84,21,"Kreis.png","Ich","Matching",1,634,"d","d","L2m","Ass2"
29,85,22,"Kreis.png","Ich","Matching",1,437,"d","d","L2m","Ass2"
29,86,22,"Dreieck.png","Ich","Nonmatching",1,646,"k","k","L2n","Ass2"
29,87,22,"Kreis.png","Fremder","Nonmatching",1,593,"k","k","L1n","Ass2"
29,88,22,"Dreieck.png","Fremder","Matching",1,395,"d","d","L1m","Ass2"
29,89,23,"Dreieck.png","Ich","Nonmatching",1,548,"k","k","L2n","Ass2"
29,90,23,"Dreieck.png","Fremder","Matching",1,599,"d","d","L1m","Ass2"
29,91,23,"Kreis.png","Ich","Matching",1,568,"d","d","L2m","Ass2"
29,92,23,"Kreis.png","Fremder","Nonmatching",1,748,"k","k","L1n","Ass2"
29,93,24,"Kreis.png","Fremder","Nonmatching",1,676,"k","k","L1n","Ass2"
29,94,24,"Kreis.png","Ich","Matching",1,502,"d","d","L2m","Ass2"
29,95,24,"Dreieck.png","Ich","Nonmatching",1,619,"k","k","L2n","Ass2"
29,96,24,"Dreieck.png","Fremder","Matching",1,589,"d","d","L1m","Ass2"
29,97,25,"Dreieck.png","Fremder","Matching",1,462,"d","d","L1m","Ass2"
29,98,25,"Kreis.png","Fremder","Nonmatching",1,571,"k","k","L1n","Ass2"
29,99,25,"Kreis.png","Ich","Matching",1,547,"d","d","L2m","Ass2"
29,100,25,"Dreieck.png","Ich","Nonmatching",1,626,"k","k","L2n","Ass2"
29,101,26,"Kreis.png","Ich","Matching",1,587,"d","d","L2m","Ass2"
29,102,26,"Kreis.png","Fremder","Nonmatching",0,649,"d","k","L1n","Ass2"
29,103,26,"Dreieck.png","Fremder","Matching",1,619,"d","d","L1m","Ass2"
29,104,26,"Dreieck.png","Ich","Nonmatching",1,539,"k","k","L2n","Ass2"
29,105,27,"Dreieck.png","Fremder","Matching",1,648,"d","d","L1m","Ass2"
29,106,27,"Dreieck.png","Ich","Nonmatching",1,597,"k","k","L2n","Ass2"
29,107,27,"Kreis.png","Fremder","Nonmatching",0,537,"d","k","L1n","Ass2"
29,108,27,"Kreis.png","Ich","Matching",1,503,"d","d","L2m","Ass2"
29,109,28,"Kreis.png","Fremder","Nonmatching",1,560,"k","k","L1n","Ass2"
29,110,28,"Dreieck.png","Fremder","Matching",1,633,"d","d","L1m","Ass2"
29,111,28,"Kreis.png","Ich","Matching",1,402,"d","d","L2m","Ass2"
29,112,28,"Dreieck.png","Ich","Nonmatching",1,600,"k","k","L2n","Ass2"
29,113,29,"Kreis.png","Fremder","Nonmatching",1,878,"k","k","L1n","Ass2"
29,114,29,"Dreieck.png","Ich","Nonmatching",1,657,"k","k","L2n","Ass2"
29,115,29,"Kreis.png","Ich","Matching",1,545,"d","d","L2m","Ass2"
29,116,29,"Dreieck.png","Fremder","Matching",1,604,"d","d","L1m","Ass2"
29,117,30,"Dreieck.png","Ich","Nonmatching",1,541,"k","k","L2n","Ass2"
29,118,30,"Kreis.png","Fremder","Nonmatching",1,643,"k","k","L1n","Ass2"
