"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"29","1","1","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","1177","1.177","1"
"29","1","2","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","851","0.851","1"
"29","1","3","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","1007","1.007","1"
"29","1","4","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","576","0.576","1"
"29","2","5","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","648","0.648","1"
"29","2","6","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","762","0.762","1"
"29","2","7","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","616","0.616","1"
"29","2","8","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","967","0.967","1"
"29","3","9","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","651","0.651","1"
"29","3","10","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","d","654","0.654","0"
"29","3","11","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","810","0.81","1"
"29","3","12","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","515","0.515","1"
"29","4","13","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","942","0.942","1"
"29","4","14","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","723","0.723","1"
"29","4","15","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","513","0.513","1"
"29","4","16","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","431","0.431","1"
"29","5","17","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","556","0.556","1"
"29","5","18","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","601","0.601","1"
"29","5","19","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","861","0.861","1"
"29","5","20","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","612","0.612","1"
"29","6","21","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","648","0.648","1"
"29","6","22","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","610","0.61","1"
"29","6","23","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","819","0.819","1"
"29","6","24","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","512","0.512","1"
"29","7","25","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","871","0.871","1"
"29","7","26","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","655","0.655","1"
"29","7","27","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","590","0.59","1"
"29","7","28","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","510","0.51","1"
"29","8","29","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","681","0.681","1"
"29","8","30","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","594","0.594","1"
"29","8","31","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","948","0.948","1"
"29","8","32","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","d","837","0.837","0"
"29","9","33","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","573","0.573","1"
"29","9","34","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","594","0.594","1"
"29","9","35","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","810","0.81","1"
"29","9","36","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","569","0.569","1"
"29","10","37","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","591","0.591","1"
"29","10","38","Dreieck.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","k","736","0.736","1"
"29","10","39","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","538","0.538","1"
"29","10","40","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","388","0.388","1"
"29","11","41","Kreis.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","d","521","0.521","1"
"29","11","42","Kreis.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","k","508","0.508","1"
"29","11","43","Dreieck.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","d","704","0.704","1"
