"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","ACC"
"1","1","1","triangle","you","self-matching","Nonmatching","1","You","Self","2","Stranger","Stranger","1","712","1"
"1","1","2","pentagon","stranger","self-matching","Nonmatching","2","Stranger","Stranger","4","Neutral shape","NonPerson","1","476","1"
"1","1","3","circle","stranger","self-matching","Nonmatching","2","Stranger","Stranger","3","Neutral shape","NonPerson","1","488","1"
"1","1","4","triangle","stranger","self-matching","Matching","2","Stranger","Stranger","2","Stranger","Stranger","2","715","1"
"1","1","5","pentagon","you","self-matching","Nonmatching","1","You","Self","4","Neutral shape","NonPerson","1","629","1"
"1","1","6","triangle","stranger","self-matching","Matching","2","Stranger","Stranger","2","Stranger","Stranger","2","577","1"
"1","1","7","square","you","self-matching","Matching","1","You","Self","1","You","Self","2","541","1"
"1","1","8","square","you","self-matching","Matching","1","You","Self","1","You","Self","2","515","1"
"1","1","9","circle","you","self-matching","Nonmatching","1","You","Self","3","Neutral shape","NonPerson","1","507","1"
"1","1","10","square","stranger","self-matching","Nonmatching","2","Stranger","Stranger","1","You","Self","2","476","0"
"1","1","11","triangle","stranger","self-matching","Matching","2","Stranger","Stranger","2","Stranger","Stranger","2","627","1"
"1","1","12","square","you","self-matching","Matching","1","You","Self","1","You","Self","2","383","1"
"1","1","13","square","you","self-matching","Matching","1","You","Self","1","You","Self","2","438","1"
"1","1","14","triangle","stranger","self-matching","Matching","2","Stranger","Stranger","2","Stranger","Stranger","2","681","1"
"1","1","15","triangle","stranger","self-matching","Matching","2","Stranger","Stranger","2","Stranger","Stranger","2","650","1"
"1","1","16","square","you","self-matching","Matching","1","You","Self","1","You","Self","2","488","1"
"1","1","17","circle","stranger","self-matching","Nonmatching","2","Stranger","Stranger","3","Neutral shape","NonPerson","1","552","1"
