"Subject","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","695","0.695","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","302","0.302","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","247","0.247","0"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","1146","1.146","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","633","0.633","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","263","0.263","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","500","0.5","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","383","0.383","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","306","0.306","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","244","0.244","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","261","0.261","0"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","289","0.289","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","288","0.288","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","268","0.268","0"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","270","0.27","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","406","0.406","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","277","0.277","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","251","0.251","0"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","263","0.263","0"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","763","0.763","0"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","934","0.934","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","538","0.538","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","886","0.886","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","698","0.698","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","882","0.882","0"
