"Subject","Trial","Shape","Label","Matching","ACC","RT_ms","bed","manipCheck","Resp","Cresp","Condition"
2,27,"Dreieck.png","Fremder","Matching",1,1556,"L1m",1,"d","d","Ass2"
2,28,"Dreieck.png","Ich","Nonmatching",1,1000,"L2n",3,"k","k","Ass2"
2,29,"Kreis.png","Fremder","Nonmatching",0,1099,"L1n",2,"d","k","Ass2"
2,30,"Dreieck.png","Ich","Nonmatching",1,1119,"L2n",3,"k","k","Ass2"
2,31,"Dreieck.png","Fremder","Matching",1,1357,"L1m",1,"d","d","Ass2"
2,32,"Kreis.png","Ich","Matching",1,657,"L2m",4,"d","d","Ass2"
2,33,"Dreieck.png","Fremder","Matching",0,875,"L1m",1,"k","d","Ass2"
2,34,"Kreis.png","Ich","Matching",1,317,"L2m",4,"d","d","Ass2"
2,35,"Kreis.png","Fremder","Nonmatching",1,1019,"L1n",2,"k","k","Ass2"
2,36,"Dreieck.png","Ich","Nonmatching",1,1053,"L2n",3,"k","k","Ass2"
2,37,"Dreieck.png","Fremder","Matching",1,1043,"L1m",1,"d","d","Ass2"
2,38,"Kreis.png","Fremder","Nonmatching",1,762,"L1n",2,"k","k","Ass2"
2,39,"Kreis.png","Ich","Matching",1,905,"L2m",4,"d","d","Ass2"
2,40,"Dreieck.png","Ich","Nonmatching",1,1031,"L2n",3,"k","k","Ass2"
2,41,"Dreieck.png","Fremder","Matching",1,1286,"L1m",1,"d","d","Ass2"
2,42,"Dreieck.png","Ich","Nonmatching",1,1484,"L2n",3,"k","k","Ass2"
2,43,"Kreis.png","Fremder","Nonmatching",1,800,"L1n",2,"k","k","Ass2"
2,44,"Kreis.png","Ich","Matching",1,546,"L2m",4,"d","d","Ass2"
2,45,"Kreis.png","Ich","Matching",1,764,"L2m",4,"d","d","Ass2"
2,46,"Kreis.png","Fremder","Nonmatching",1,899,"L1n",2,"k","k","Ass2"
2,47,"Dreieck.png","Fremder","Matching",1,811,"L1m",1,"d","d","Ass2"
