"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"19","Qian_2020_QJEP_Exp1","19","Female","R","/","/","China","/","/"
"17","Qian_2020_QJEP_Exp1","19","Female","R","/","/","China","/","/"
"20","Qian_2020_QJEP_Exp1","18","Female","R","/","/","China","/","/"
"22","Qian_2020_QJEP_Exp1","20","Female","R","/","/","China","/","/"
"24","Qian_2020_QJEP_Exp1","19","Female","R","/","/","China","/","/"
"30","Qian_2020_QJEP_Exp1","18","Female","R","/","/","China","/","/"
"33","Qian_2020_QJEP_Exp1","20","Female","R","/","/","China","/","/"
"34","Qian_2020_QJEP_Exp1","21","Female","R","/","/","China","/","/"
"18","Qian_2020_QJEP_Exp1","18","Male","R","/","/","China","/","/"
"21","Qian_2020_QJEP_Exp1","20","Female","R","/","/","China","/","/"
"23","Qian_2020_QJEP_Exp1","20","Female","R","/","/","China","/","/"
"25","Qian_2020_QJEP_Exp1","19","Female","R","/","/","China","/","/"
"31","Qian_2020_QJEP_Exp1","21","Female","R","/","/","China","/","/"
"32","Qian_2020_QJEP_Exp1","20","Female","R","/","/","China","/","/"
"26","Qian_2020_QJEP_Exp1","21","Female","R","/","/","China","/","/"
"27","Qian_2020_QJEP_Exp1","22","Male","R","/","/","China","/","/"
"28","Qian_2020_QJEP_Exp1","18","Male","R","/","/","China","/","/"
"29","Qian_2020_QJEP_Exp1","21","Female","R","/","/","China","/","/"
"38","Qian_2020_QJEP_Exp1","18","Male","R","/","/","China","/","/"
"39","Qian_2020_QJEP_Exp1","21","Male","R","/","/","China","/","/"
"40","Qian_2020_QJEP_Exp1","20","Male","R","/","/","China","/","/"
"35","Qian_2020_QJEP_Exp1","22","Male","R","/","/","China","/","/"
"36","Qian_2020_QJEP_Exp1","18","Male","R","/","/","China","/","/"
"37","Qian_2020_QJEP_Exp1","21","Male","R","/","/","China","/","/"
