"Subject","Condition","Task","Matching","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC","Arouse","Valence"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","408","0.408","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","375","0.375","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","339","0.339","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","253","0.253","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","233","0.233","0","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","522","0.522","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","479","0.479","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","482","0.482","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","520","0.52","0","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","551","0.551","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","464","0.464","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","527","0.527","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","426","0.426","0","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","741","0.741","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","452","0.452","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","355","0.355","0","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","644","0.644","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","548","0.548","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","471","0.471","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","420","0.42","0","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","411","0.411","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","437","0.437","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","566","0.566","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","418","0.418","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","557","0.557","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","569","0.569","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","411","0.411","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","433","0.433","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","279","0.279","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","339","0.339","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","366","0.366","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","414","0.414","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","557","0.557","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","429","0.429","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","408","0.408","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","471","0.471","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","486","0.486","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","271","0.271","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","464","0.464","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","361","0.361","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","360","0.36","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","444","0.444","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","370","0.37","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","305","0.305","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","362","0.362","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","452","0.452","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","256","0.256","0","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","480","0.48","0","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","409","0.409","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","471","0.471","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","460","0.46","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","275","0.275","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","409","0.409","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","222","0.222","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","447","0.447","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","255","0.255","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","229","0.229","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","225","0.225","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","387","0.387","0","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","368","0.368","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","431","0.431","0","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","387","0.387","0","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","522","0.522","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","402","0.402","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","495","0.495","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","360","0.36","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","444","0.444","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","496","0.496","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","379","0.379","1","7","3"
