"subNo","hand","phaselabel","trial","resp","objnumber","objname","permutation","slot_identity1","slot_identity2","slot_identity3","version","self_pseudoword","objtype","ac","rt_ms"
"3001","1","test","1","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","1144"
"3001","1","test","2","z","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","979"
"3001","1","test","3","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","703"
"3001","1","test","4","z","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","742"
"3001","1","test","5","z","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1293"
"3001","1","test","6","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","907"
"3001","1","test","7","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","552"
"3001","1","test","8","z","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","760"
"3001","1","test","9","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1020"
"3001","1","test","10","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1125"
"3001","1","test","11","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1131"
"3001","1","test","12","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","1049"
"3001","1","test","13","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1104"
"3001","1","test","14","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","990"
"3001","1","test","15","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","1130"
"3001","1","test","16","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1045"
"3001","1","test","17","z","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","1328"
"3001","1","test","18","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","1030"
"3001","1","test","19","z","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","894"
"3001","1","test","20","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1244"
"3001","1","test","21","z","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","1366"
"3001","1","test","22","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1161"
"3001","1","test","23","z","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1261"
"3001","1","test","24","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","630"
"3001","1","test","25","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","641"
"3001","1","test","26","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","778"
"3001","1","test","27","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","1318"
"3001","1","test","28","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","972"
"3001","1","test","29","m","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","0","959"
"3001","1","test","30","x","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1499"
"3001","1","test","31","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","782"
"3001","1","test","32","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1267"
"3001","1","test","33","m","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","946"
"3001","1","test","34","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","792"
"3001","1","test","35","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","714"
"3001","1","test","36","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","936"
"3001","1","test","37","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","991"
"3001","1","test","38","z","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","649"
"3001","1","test","39","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","700"
"3001","1","test","40","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1019"
"3001","1","test","41","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","748"
"3001","1","test","42","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","617"
"3001","1","test","43","z","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","1172"
"3001","1","test","44","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","1159"
"3001","1","test","45","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","915"
"3001","1","test","46","x","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","0","1498"
"3001","1","test","47","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","966"
"3001","1","test","48","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","618"
"3001","1","test","49","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","691"
"3001","1","test","50","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","763"
"3001","1","test","51","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","906"
"3001","1","test","52","z","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1135"
"3001","1","test","53","m","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","0","621"
"3001","1","test","54","z","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","888"
"3001","1","test","55","z","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","838"
"3001","1","test","56","m","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","0","1280"
"3001","1","test","57","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","926"
"3001","1","test","58","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","894"
"3001","1","test","59","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","988"
"3001","1","test","60","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","1022"
"3001","1","test","61","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","992"
"3001","1","test","62","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","748"
"3001","1","test","63","m","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","809"
"3001","1","test","64","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","957"
"3001","1","test","65","m","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","0","1064"
"3001","1","test","66","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","992"
"3001","1","test","67","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","972"
"3001","1","test","68","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","1031"
"3001","1","test","69","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","994"
"3001","1","test","70","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","828"
"3001","1","test","71","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","775"
"3001","1","test","72","z","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","883"
"3001","1","test","73","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","1330"
"3001","1","test","74","z","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","1096"
"3001","1","test","75","x","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1500"
"3001","1","test","76","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","658"
"3001","1","test","77","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","675"
"3001","1","test","78","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","684"
"3001","1","test","79","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","763"
"3001","1","test","80","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","1258"
"3001","1","test","81","m","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","617"
"3001","1","test","82","z","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","691"
"3001","1","test","83","m","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","0","619"
"3001","1","test","84","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","486"
"3001","1","test","85","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","496"
"3001","1","test","86","z","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","472"
"3001","1","test","87","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","682"
"3001","1","test","88","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","729"
"3001","1","test","89","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","736"
"3001","1","test","90","m","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","0","1086"
"3001","1","test","91","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","684"
"3001","1","test","92","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","836"
"3001","1","test","93","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1332"
"3001","1","test","94","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","874"
"3001","1","test","95","z","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","514"
"3001","1","test","96","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","649"
"3001","1","test","97","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","626"
"3001","1","test","98","z","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","525"
"3001","1","test","99","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","972"
"3001","1","test","100","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","816"
"3001","1","test","101","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","1091"
"3001","1","test","102","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","785"
"3001","1","test","103","z","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1188"
"3001","1","test","104","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","767"
"3001","1","test","105","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","700"
"3001","1","test","106","m","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","0","996"
"3001","1","test","107","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","773"
"3001","1","test","108","m","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","0","1106"
"3001","1","test","109","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","1081"
"3001","1","test","110","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","952"
"3001","1","test","111","m","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","869"
"3001","1","test","112","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","804"
"3001","1","test","113","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","1135"
"3001","1","test","114","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1236"
"3001","1","test","115","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","686"
"3001","1","test","116","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","868"
"3001","1","test","117","m","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","0","813"
"3001","1","test","118","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","655"
"3001","1","test","119","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","1274"
"3001","1","test","120","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","1175"
"3001","1","test","121","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","783"
"3001","1","test","122","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","498"
"3001","1","test","123","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","938"
"3001","1","test","124","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","656"
"3001","1","test","125","z","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","944"
"3001","1","test","126","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","590"
"3001","1","test","127","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","722"
"3001","1","test","128","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","874"
"3001","1","test","129","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","1034"
"3001","1","test","130","z","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","1075"
"3001","1","test","131","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","793"
"3001","1","test","132","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","884"
"3001","1","test","133","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","869"
"3001","1","test","134","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","685"
"3001","1","test","135","z","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1022"
"3001","1","test","136","z","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","1446"
"3001","1","test","137","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1181"
"3001","1","test","138","z","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","1330"
"3001","1","test","139","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","957"
"3001","1","test","140","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","875"
"3001","1","test","141","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1258"
"3001","1","test","142","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","747"
"3001","1","test","143","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","719"
"3001","1","test","144","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","879"
"3001","1","test","145","z","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","1303"
"3001","1","test","146","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","1236"
"3001","1","test","147","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","820"
"3001","1","test","148","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","830"
"3001","1","test","149","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","682"
"3001","1","test","150","m","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","768"
"3001","1","test","151","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","749"
"3001","1","test","152","z","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","0","1146"
"3001","1","test","153","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","840"
"3001","1","test","154","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","1024"
"3001","1","test","155","z","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","0","1114"
"3001","1","test","156","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1079"
"3001","1","test","157","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","631"
"3001","1","test","158","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","618"
"3001","1","test","159","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","718"
"3001","1","test","160","m","8","shape2.jpg","1","You","Julia","<none>","3","Miru","2","1","1284"
"3001","1","test","161","z","2","shape2.jpg","1","You","Julia","<none>","3","Miru","1","1","1226"
"3001","1","test","162","m","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","898"
"3001","1","test","163","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","1010"
"3001","1","test","164","x","5","shape2.jpg","1","You","Julia","<none>","3","Miru","2","0","1500"
"3001","1","test","165","m","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","0","664"
"3001","1","test","166","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","818"
"3001","1","test","167","m","4","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","884"
"3001","1","test","168","z","1","shape1.jpg","1","You","Julia","<none>","3","Miru","1","1","747"
"3001","1","test","169","m","7","shape1.jpg","1","You","Julia","<none>","3","Miru","2","1","793"
"3001","1","test","170","z","3","shape3.jpg","1","You","Julia","<none>","3","Miru","1","1","893"
"3001","1","test","171","m","6","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","668"
"3001","1","test","172","m","9","shape3.jpg","1","You","Julia","<none>","3","Miru","2","1","988"
