"Subject","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"3001","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","x","1500","1.5","0"
"3001","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","1006","1.006","1"
"3001","Julia","You","self-matching","Nonmatching","You","Self","Self","Julia","Close","Close","m","1249","1.249","1"
"3001","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","x","1499","1.499","0"
"3001","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","884","0.884","1"
"3001","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","m","996","0.996","1"
"3001","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","m","1303","1.303","1"
"3001","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","m","1149","1.149","0"
"3001","Julia","You","self-matching","Nonmatching","You","Self","Self","Julia","Close","Close","m","984","0.984","1"
"3001","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","m","957","0.957","1"
"3001","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","m","969","0.969","1"
"3001","none","You","self-matching","Nonmatching","You","Self","Self","none","NonPerson","NonPerson","m","1116","1.116","1"
"3001","Julia","none","self-matching","Nonmatching","none","NonPerson","NonPerson","Julia","Close","Close","x","1499","1.499","0"
"3001","none","Julia","self-matching","Nonmatching","Julia","Close","Close","none","NonPerson","NonPerson","x","1499","1.499","0"
"3001","You","Julia","self-matching","Nonmatching","Julia","Close","Close","You","Self","Self","m","978","0.978","1"
"3001","Julia","Julia","self-matching","Matching","Julia","Close","Close","Julia","Close","Close","z","1029","1.029","1"
"3001","Julia","none","self-matching","Nonmatching","none","NonPerson","NonPerson","Julia","Close","Close","x","1499","1.499","0"
"3001","Julia","none","self-matching","Nonmatching","none","NonPerson","NonPerson","Julia","Close","Close","m","610","0.61","1"
"3001","none","You","self-matching","Nonmatching","You","Self","Self","none","NonPerson","NonPerson","z","700","0.7","0"
"3001","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","m","1413","1.413","0"
"3001","Julia","Julia","self-matching","Matching","Julia","Close","Close","Julia","Close","Close","z","1198","1.198","1"
"3001","Julia","Julia","self-matching","Matching","Julia","Close","Close","Julia","Close","Close","z","1425","1.425","1"
"3001","You","Julia","self-matching","Nonmatching","Julia","Close","Close","You","Self","Self","m","802","0.802","1"
"3001","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","764","0.764","1"
"3001","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","753","0.753","1"
"3001","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","621","0.621","1"
"3001","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","m","1063","1.063","0"
"3001","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","z","890","0.89","1"
"3001","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","672","0.672","1"
"3001","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","656","0.656","1"
"3001","Julia","Julia","self-matching","Matching","Julia","Close","Close","Julia","Close","Close","m","1378","1.378","0"
"3001","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","m","989","0.989","0"
"3001","Julia","You","self-matching","Nonmatching","You","Self","Self","Julia","Close","Close","m","1017","1.017","1"
"3001","Julia","You","self-matching","Nonmatching","You","Self","Self","Julia","Close","Close","m","1106","1.106","1"
"3001","none","Julia","self-matching","Nonmatching","Julia","Close","Close","none","NonPerson","NonPerson","m","1120","1.12","1"
"3001","Julia","Julia","self-matching","Matching","Julia","Close","Close","Julia","Close","Close","z","1038","1.038","1"
"3001","Julia","Julia","self-matching","Matching","Julia","Close","Close","Julia","Close","Close","z","711","0.711","1"
"3001","Julia","You","self-matching","Nonmatching","You","Self","Self","Julia","Close","Close","m","1373","1.373","1"
"3001","Julia","Julia","self-matching","Matching","Julia","Close","Close","Julia","Close","Close","z","1151","1.151","1"
