Subject,Task,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,Response,RT_ms,RT_sec,ACC
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,470.992099959403,0.470992099959403,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,442.120600026101,0.442120600026101,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,386.75519998651,0.38675519998651,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,534.790400008205,0.534790400008205,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,481.717199960258,0.481717199960258,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,351.670500007458,0.351670500007458,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,529.670200019609,0.529670200019609,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,375.666400010232,0.375666400010232,0
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,484.217499964871,0.484217499964871,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,399.29689996643,0.39929689996643,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,516.232899972238,0.516232899972238,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,373.961800010875,0.373961800010875,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,383.72059998801,0.38372059998801,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,427.961799956393,0.427961799956393,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,351.399899984244,0.351399899984244,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,656.568999984302,0.656568999984302,0
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,421.750299981795,0.421750299981795,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,419.81350001879,0.41981350001879,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,519.076099968515,0.519076099968515,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,320.677000039723,0.320677000039723,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,950.864599959459,0.950864599959459,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,405.1054000156,0.4051054000156,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,446.033300017007,0.446033300017007,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,478.418399987277,0.478418399987277,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,637.013100029435,0.637013100029435,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,405.961600015871,0.405961600015871,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,435.149000026286,0.435149000026286,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,563.20890004281,0.56320890004281,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,404.390899988357,0.404390899988357,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,483.429799962323,0.483429799962323,1
