Subject Tukey_DOT liRTmean_DOT liACC_DOT liRTsum_DOT lfRTmean_DOT lfACC_DOT lfRTsum_DOT niRTmean_DOT niACC_DOT niRTsum_DOT nfRTmean_DOT nfACC_DOT nfRTsum_DOT liER_DOT lfER_DOT niER_DOT nfER_DOT
2 894 506 35 17714 495 38 18823 514 37 19031 464 34 15760 6 6 7 7 
3 930 486 40 19445 523 43 22506 490 42 20595 516 40 20646 4 1 2 4 
4 1068 570 43 24509 608 42 25515 593 44 26101 560 44 24646 1 2 0 0 
5 1018 510 42 21418 569 44 25054 553 42 23226 498 43 21417 2 0 2 1 
6 954 516 39 20106 546 39 21313 524 41 21489 499 41 20468 5 4 2 3 
7 940 552 42 23178 550 43 23665 554 43 23812 531 43 22826 2 1 1 0 
8 1027 640 40 25591 637 43 27407 616 42 25889 627 42 26349 4 1 2 2 
9 698 447 40 17871 468 42 19671 450 40 18002 464 39 18093 4 2 4 5 
10 1024 586 41 24023 602 42 25289 623 42 26180 604 42 25371 3 1 2 1 
11 944 480 39 18707 534 39 20818 519 41 21260 550 37 20332 5 5 2 7 
12 670 450 38 17119 443 35 15490 434 37 16060 441 40 17651 5 8 6 3 
13 966 514 44 22628 540 42 22675 548 44 24116 534 41 21908 0 2 0 3 
14 1084 593 37 21935 630 37 23293 646 41 26503 574 41 23525 7 6 2 3 
15 912 568 42 23841 569 43 24474 573 39 22331 573 43 24657 2 1 5 1 
16 1183 694 43 29844 705 42 29621 682 44 30000 681 40 27236 1 2 0 4 
17 981 547 43 23512 547 42 22992 532 38 20221 587 42 24665 1 2 5 2 
18 782 471 41 19317 477 42 20032 485 42 20375 486 40 19421 3 2 2 4 
19 958 513 40 20518 546 44 24023 547 43 23507 511 42 21458 3 0 1 1 
20 725 441 40 17629 472 38 17936 439 39 17112 458 40 18329 4 6 5 4 
21 1251 618 43 26579 701 43 30138 690 39 26917 663 41 27180 1 1 4 3 
22 988 568 44 24986 640 44 28151 608 44 26758 638 44 28061 0 0 0 0 
23 1033 616 43 26502 648 39 25262 604 43 25968 631 41 25876 1 5 1 3 
24 936 477 41 19539 501 40 20045 458 42 19224 513 38 19510 3 3 1 5 
25 908 585 43 25160 601 43 25844 592 41 24290 621 43 26720 1 1 3 1 
26 921 530 43 22792 576 43 24774 591 42 24837 537 44 23649 1 1 2 0 
27 934 528 42 22188 547 43 23507 510 41 20916 576 44 25332 1 0 2 0 
28 916 482 44 21222 514 41 21077 509 42 21358 494 40 19769 0 2 2 3 
29 889 590 44 25976 605 44 26619 586 44 25781 610 44 26848 0 0 0 0 
30 946 547 43 23518 551 41 22583 515 41 21107 561 37 20745 1 3 3 7 
31 813 515 41 21101 542 40 21697 490 44 21572 510 40 20419 3 4 0 4 
32 836 455 44 20010 517 36 18612 501 37 18553 484 39 18891 0 7 7 5 
33 932 539 43 23160 543 43 23334 551 44 24256 560 43 24060 0 0 0 0 
34 1160 615 41 25221 665 41 27273 605 44 26607 622 41 25484 3 3 0 3 
